"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"- gmas odrar a écrit: thba sol tifrit idamn ar sol yalla uzro ar sol yalla udrar imdel ugaywar gmas ar sol talla taggont khofous umakous tjdr tisent igra wayaw tagat ar itergigy wakal ar tantal tafoukt itillas tebrrokhsi tayri-laht ibokd ozal yodad 9abil arisiggil manka sradmdeln gmas ar sol yalla uzro ar sol yalla udrar tanmirt a gma f tmdiyazt ad yusin kigan d wammakn, kigan d iswingimn. tamdyazt tafalsafit. lligh sentigh art aqqragh tamdiyazt, lligh gis lkemgh ""imdel ugaywar gmas "", ktighd ha
..........
kullu ijran gh tizwiri n tudert gh iggi n wakal. lligh ttin kan gan aghar 5. zrighnn s imik, afghenn ghilli gh tnnit:yodad 9abil arisiggil manka sradmdeln gmas igat l7al a gma, izd tikhira n zman ayad gis nlkem ass ad? ar sol yalla uzro ar sol yalla udrar ar sul yalla uzro lli dar ur tasa mas yalla, lli mmu iqqur ul ig azru. ar sol yalla udrar, ard itfruri ig amlal. afgan nttan yusi ukan tuzzal ar iqqers. irmi ugaywar mad ukan imTTel. tkka tazamma n ufgan ignwan. tanmirt agma f tmdiyazt ad bahra"	24e81a4ec175ad28ce32a11a8b733cd0
			Kabul Kabul d tamaneɣt n Afɣanistan, tezga-d deg ugafa-agmuḍan (nord-est) n tmurt. Zedɣen-tt 2.850.000 n yimezdaɣen. Deg useggas n 1774 ay teqqel temdint-a d tamaneɣt n tmurt. Ass-a, Kabul d nettat ay d ammas n tdamsa, n tnezzut (ttjaṛa) akked yedles n Afɣanistan, yerna ɛlayet 1800 n lmitrat. Aṭas n yimenɣiyen ed yemgura (ṭṭradat) ay yekkan ɣef Kabul deg lqern wis 19 ed wis 20. Deg yiseggasen n 1980, asmi ay tt-ṭṭfen Yisuvyatiyen, akked yiseggasen n 1990, asmi ay yenker wemgaru gar Wafɣanen, aṭas n yimukan ay ihudden seg temdint-a.	774feda2cf7b0a2bef8662bdc7cb0eae
			"MEDZAT ALTU !— April 10, 2014 0 160 Medzat ! Ferḥat ! Midd g id Ferḥat ? Seg Ferḥat Eebbas ar Ferḥat ImaziYen Yimula, ur illi yisem neY amyag (verbe) nna Yef nsiggel. Ferḥat a winna d tinna issummen adif n tussna seg tesdawiyin d yiYerbazen ixataren n utaram (occident)! Ar tteṭṭḍen allig ssalin ifadden uten akw timaẓẓagin s tiqqar zund ur ğğin degsent lmiden uḍuḍ. Imir-a, da ten-nettinniy ar akkan tibiYutin i terbatin d yirban n seḍḍis n yiseggwasen mek nettu tinin d winin kuẓ n yiseggwasen. Ur 
..........
 iddeY ẓḍaren ad ẓmin yiwen yisem nn-ikkan ar ittemyak-kas aliY (fond) n wasif n Nil netta d win Yifarawnen. Isem-a ittuẓmin iga-t win Yilibi-yen neY ImaziYen. Isem-a inmala ad imyar tudert n uẓmay fellas izdin seg wakuden iqburen. Ttwagna Yefsen – ImaziYen- tbarda n umezruy acku ur rin ad tt-gnun Yef wiyeḍnin : Tasustant n umezruy tga zund tin tsertit, mek ur da ttarmed ad tt-tged g wiyeḍ qad tt-gen digek. Day, ferḥat ay icenga n yisem amaziY ! Seg mecta aya tmedzem, asels n tsertit-nnwen d wan"	5f5e1752990d5b1319c17c83b9c5d8a5
			"Bible verses about ""personality"" | Kabyle 8 Ḥadret, Ɛasset iman-nwen axaṭer aɛdaw-nwen d Cciṭan, ițezzi iṛeɛɛed am yizem, ițqellib anwa ara issebleɛ. 28 Yis i nesɛa tudert, i nteddu, i nețțili; d ayen i d-nnan daɣen kra seg imedyazen-nwen : « ula d nukkni, darraw-is! » 20 Seg wasmi i d-yexleq ddunit, ayen akk yeffren ɣef wallen, nețwali-t di lecɣal-is; nezmer a neɛqel belli d nețța kan i d Ṛebbi yesɛan tazmert ur nfennu; daymi wigi ulac fell-asen ssmaḥ. 16 Ur teẓrim ara belli kunwi d lǧameɛ n Si
..........
ili tmesliwt ? Neɣ ma yella d ameẓẓuɣ kan i tella, amek ara yili wesriḥi ? 18 Sidi Ṛebbi yebna mkul lmefṣel di lǧețța akken i s-yehwa. 21 Win i yi-ḥemmlen s tideț, d win i geṭṭfen lewṣayat-iw yerna iḥrez-itent. Win i yi-ḥemmlen a t-iḥemmel Baba, nekk daɣen a t-ḥemmleɣ yerna a d-sbeggneɣ iman-iw ɣuṛ-es. 4 Am akken nesɛa aṭas n lemfaṣel di lǧețța-nneɣ, meɛna mkul yiwen si lemfaṣel-nni s lxedma-ines, 5 akken daɣen nukni, ɣas deg waṭas yid-nneɣ i nella, s tdukli-nneɣ nețțili d yiwet n lǧețța di Lmas"	ce7f00f89132a7a3386903bb3cafce27
			"Akin i wselqef D tameddit n wass, rziɣ ɣer wasif i wakken ad waliɣ cbaḥa n igenni, ad ssleɣ i ṣṣut-is xas ma yella tasusmi tezzuzun itran. Dɣa qqimeɣ ɣef yiwen weẓru, rriY iḍarren-iw deg waman. Refdeɣ allen-iw s igenni… I yecbeḥ yiṭij m’ara yeYli i wakken as yeǧǧ amḍiq-is i leḥmuregga n tmeddit; i cebḥen yefrax mi ara tturaren deg rebbi-s, ur ẓriY ara isemawen-nsen, maca ur d-clieeY ara, axater yak walaY cbaḥa-nsen, dayen kan id-iyi rḥan. Isem d lqefs bbuzal yetteksen cbaḥa i tYawsiwin… MedleY a
..........
en iles, i wumi skadben widen yeṭṭfen taqacuct… widen iYilen ssnen Rebbii… D tasuta i wumi bYan ad ksen tirga d usirem, tin i wumi selsen snasel d afzim n tlelli. Nek yid-m, d tilawin. D tilawin i yumnen s tirga-nsent. D tilawin ur nerri tilas i yiswi-nsent. D asirem i wumi meqret tgelda i terriḍ d talaba-inem. CubeY-kem Yer tizerzert-nni taweḥcit yettnadin Yef temda di tlemmast n ṣṣeḥra, ur tugad lesrar-is, ur tugad aYamac-is. Tebbiḍ abrid werǧin wwint tiyaḍ: Tluleḍ-d d tameṭṭut i wakken ad til"	e96d111a4ac988a2788df692ef7b52a4
			"test for :left a a fa a dfa a sdfa a asdfa a xasdfa a asxxdfa a test for :center a a fa afd asdf dfa a sdfa afd asdf asdfa a xasdfa asdfasdfasdfasdfasdf asxxdfa a test for :right a a fa a dfa a sdfa a asdfa a xasdfa a asxxdfa a asxa;ofa a asdfaqwer a a ax fa ax dfa ax sdfa ax asdfa ax xasdfa ax asxxdfa ax asxa;ofa ax asdfaqwer ax a axx fa axx dfa axx sdfa axx asdfa axx xasdfa axx asxxdfa axx asxa;ofa axx asdfaqwer axx a axxx fa axxx dfa axxx sdfa axxx asdfa axxx xasdfa axxx asxxdfa axxx asxa;ofa
..........
i asdfaqwer axxxoi a axxxoik fa axxxoik dfa axxxoik sdfa axxxoik asdfa axxxoik xasdfa axxxoik asxxdfa axxxoik asxa;ofa axxxoik asdfaqwer axxxoik a axxxoike fa axxxoike dfa axxxoike sdfa axxxoike asdfa axxxoike xasdfa axxxoike asxxdfa axxxoike asxa;ofa axxxoike asdfaqwer axxxoike a axxxoikey fa axxxoikey dfa axxxoikey sdfa axxxoikey asdfa axxxoikey xasdfa axxxoikey asxxdfa axxxoikey asxa;ofa axxxoikey asdfaqwer axxxoikey xxxxx xx xxxxxx xxxxxxx xxxxxxxxx xxx xxxx xxxxx xxxxx xxx xx xxxxxxxxxxxxxx"	15fac9c088442d32e68a720f1c31a504
			Help us translate these lyrics Be the first to translate these lyrics in your language. laâmum lexwal iDulan Iqriben akken ma llan D-itmghra aten msaman Zwit Rwit... Ya bu backiD ghef tuyat, If slanwent lkhalat Dkec iterja tswiât Zwit Rwit... a yafus lâeb-iss a lbarud hmit a tzlez tegwnit, wet ay-inebgawan Lawan n-tagmat d-wa Zelt a-yimâraDan TkhuSS tiqqit lqeHwa Kounwi a yiDabbalan guerrezthaghid zzedwa. Timgharin d-tslatin, TinuDin n-lusatin Aggur itran flalin Zwit Rwit... a th lawan a tulawin Ad tserhamt i-teghratin Kem a yemmas bouzyin Zwit Rwit... Tamghra n-mmim If teqqenD abzim Ttu akw ccehan -im; Lawan rssed a-weltma-s Tekred tizyiwin im Urar agi helssem t as DeG-awal akken ad yaqqim L'ferh ar dyali wass Tagmat garanegh ar tithim Ih ya iha Wet fus ahawahaw Ih ya iha adjat tismin ghardefir Ih ya iha Wet fus adyekr ezhir	7eaf89607a4794f212e5b394c791b20d
			"Kabyle(i) 1 Nekk yellan d ameqqran n tejmaɛt, i Kirya i gextaṛ Sidi Ṛebbi akk-d warraw-is i ḥemmleɣ s tideț. Mačči d nekk kan i kkun iḥemmlen, meɛna ula d wid akk yesnen tideț; 2 ɣef ddemma n tideț yellan deg-nneɣ ara yeqqimen deg-nneɣ i dayem. 3 Ssmaḥ, ṛṛeḥma ț-țalwit a ɣ-d țțunefken s ɣuṛ Baba Ṛebbi d Mmi-s Ɛisa Lmasiḥ, iwakken a nɛic di tideț akk-d leḥmala. 4 Acḥal feṛḥeɣ imi ufiɣ kra seg warraw-im teddun deg webrid n tideț, akken i ɣ-t-id-yumeṛ Baba Ṛebbi. 5 Ihi tura a tajmaɛt n Kirya, ayen 
..........
ɛeṛfen ara belli Ɛisa Lmasiḥ yusa-d ɣer ddunit s ṣṣifa n wemdan. D wigi i gețɣuṛṛun, i d iɛdawen n Lmasiḥ. 8 ?adret iman-nwen iwakken ur a wen-yețṛuḥu ara wayen akk i wen-nesselmed lameɛna aț-țɣelltem lfayda tameqqrant. 9 Kra n win ara iɛeddin tilas deg wayen yesselmed Lmasiḥ, ur yeṭṭif ara di Ṛebbi; ma d win yeṭṭfen deg uselmed n Lmasiḥ yeṭṭef di Baba Ṛebbi akk-d Mmi-s. 10 Kra n win ara d-yasen ɣuṛ-wen m'ur wen-d-yewwi ara aselmed-agi n Lmasiḥ ur sṭerḥibet ara yis ɣer yexxamen-nwen, ur țsellime"	d81e29a84ae551c276ea804055839158
			"LEZZAYER TAMANAƔT – Aneɣlaf afṛansawi n tuṛubt akk d tɣawsiwin n wezɣaṛ, Jean-Yves Le Drian, yenna ass n lḥedd di Lezzayer tamanaɣt d akken yella ""uɣiwel"" akk d""usurrif iwatan"" i wassaɣen ger Lezzayuer d Fṛansa. ""Yella uɣiwel iwatan deg usurrif n wassaɣen-nneɣ, imi ad d-tili tegrawt taneɣlafant n weswir ɛlayen deg waggur n duǧambeṛ d-iteddun. Aql-aɣ deg yiwet n tallit iwatan n wassaɣen-nneɣ daymi nebɣa ad tt-ntebbet s temlilit-agi"", id-yenna i tɣamsa Mas Le Drian, mi d-yewweḍ ɣer unafag ageraɣlan Houari-Boumediene. Amḍebbeṛ n tdiblumasit tafṛansawit, yellan di Lezzayer almend n tedwilt tis kuẓ (4) n tseqqamutt tadamsant yemmezdin ger Lezzayer d Fṛansa (COMEFA) akk d tedwilt tis kṛaḍ n udiwenni aseṭṛatiji ger Lezzayer d Fṛansa."	66dca5c983fb110e3d4166c3f6ca2246
			"Meryl Streep Mary Louise Streep, tlull ass n 22 yunyu 1949 di Summit awanak n New Jesey, d tasnegbart tamarikanit. Γer waṭas n medden, d Meryl id tasnebgart tameqṛant di tallit tafrart, yella-d yisem-is azal n 17 n tikal deg arazen Oscars zdat Katharine Hepburn, tebwi araz agi 3 kṛaḍ n tikal, isegwasen n 1980,1983 d 2012. Deg asarug, deg umezgun d tiliẓri turar aṭas n temliltin, am di Kramer and Kramer asegwas n 1979 anda turar d tameṭṭut tamezwarut n Dustin Hoffman, asaru itt yeǧǧan ad tawi Osc
..........
l n William Styron) anda turar tameṭṭut ijaṛben imḍiqen n lmut di ṭṛad n umaḍal tisnat, ayen itt yeǧǧan tikelt-a ad tawi Oscar n tesnegbart usegwas 1983. Deg usaru A Cry in the Dark n Fred Cepisi tebwi araz di cannes/fṛansa asegwas n 1989. Turar d tameṭṭut n wexxam ig Ylin di tayri Yef yiwen umseknaw deg usaru The Bridges of Madison County Yer tama n Clint Eastwood asegwas 1995, daYen deg usaru The Hours Yer tama n Nicole Kidman d Julianne Moore, isegwasen agi ineggura turar deg The Devil Wears "	197e746d61dc84663ff3968a88f9e5a1
