"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"1Ŋ naabalɩya, teŋ hʋ ma aa saba tɩya ŋ tɩyaŋ, ma pɩyɛsɩ ŋ bɔnyɛ kɩna hʋ Wiyesi Welii aa kpaa tɩya ma wɩya rɛ. Lagɩlagɩ no, ŋ aa kyɛ dɩ ma gyɩŋ wɩtɩɩ hʋ aa we wɩya no lugo tɩyaŋ nɛ. 2Ma tɩɩ gyɩma anɩɩ saŋa hʋ tɩyaŋ ma fa aa bɩ yaa Krisitabiisi, ma fa nyʋgɩsa rɛ, a fa kɩ marɩ vʋga aa bɩ kaŋ mɩɩbol. 3Ŋ aa kyɛ dɩ ma gyɩma anɩɩ dɩ Wɩɩsɩ Wiyesi Welii hʋ rɛ we nal tɩyaŋ, ʋ tɩɩna bɩ sɩ wuwo basɩ wɩbɔŋ a tɩya Yesu. Nal buloŋ mɛ bɩ sɩ wuwo baa dɩ Yesu rɛ yaa á Tɩɩna, see dɩ Wɩɩsɩ Wiyesi Welii hʋ we ʋ tɩɩn
..........
ihuwobiŋ teŋbii buloŋ fa yaa sii dʋŋ, ɛɛ rɛ nihuwobiŋ fa sɩ yaa a kɩ nɩɩ wɩya? Dɩ nihuwobiŋ teŋbii buloŋ mɛ rɛ fa yaa dɩgɩŋ, ɛɛ rɛ ʋ fa sɩ yaa a kɩ nɩɩ sʋwala? 18Amɛ wɩɩ hʋ aa we doŋ nɛ nyɛ, Wɩɩsɩ marɩ nihuwobiŋ logimo buloŋ nɛ a leŋ ba kɩdɩgɩ buloŋ we lee hʋ ʋ aa kyɛ gɛɛ. 19Dɩ nihuwobiŋ teŋbii buloŋ fa yaa logiŋdɩgɩ dʋŋ, ʋ fa sɩ kpere? 20Amɛ wɩɩ hʋ aa we doŋ nɛ nyɛ: nihuwobiŋ teŋbii yaa kɩdɩgɩ dʋŋ nɛ aŋ kaŋ logiŋgyamaa. 21Ɛɛwɩya, sɩɩ bɩ sɩ wuwo basɩ tɩya noŋ anɩɩ noŋ bɩ kaŋ tɔnɔ tɩya ʋ. Ɛɛ tɩɩ "	13281b39cdbb77d0eac8b209223fc267
			"1Ta dii ɩ dɔŋtɩɩna sarɩya, dɩ Wɩɩsɩ mɛ ta dii ɩ sarɩya. 2Beewɩya ɛɛ hʋ tɩɩ ɩ aa yaŋ di ɩ dɔŋtɩɩna sarɩya, ɛɛ tɩɩ rɛ Wɩɩsɩ mɛ sɩ di ɩ sarɩya. Ɩ aa yaŋ kpa gɛɛ tɩŋ ɩ dɔŋtɩɩna, ɛɛ tɩɩ rɛ Wɩɩsɩ mɛ sɩ kpa tɩŋa ɩ. 3Ɛɛ rɛ ɩ yaa a wuwo na gyagɩŋ hʋ aa we ɩ dɔŋtɩɩna sɩɩ tɩyaŋ aŋ bee na daakuu hʋ kɛ aa we ɩ tɩɩ sɩɩ tɩyaŋ? 4Ɛɛ rɛ ɩ sɩ yaa basɩ tɩya ɩ dɔŋtɩɩna a baa dɩ ʋ leŋ dɩ ɩ lɩɩ gyagɩŋ hʋ aa we ʋ sɩɩ tɩyaŋ ta, aŋ bɩ sɩ wuwo lɩɩ daakuu hʋ aa we ɩ tɩɩ sɩɩ tɩyaŋ kɛ. 5Ɛɛdɔŋ minaafigi tɩɩna! Laa sɩya lɩɩ da
..........
ana dʋŋ nɛ wuwo na ŋmanɩɩ no a kɩ tɩŋa."" 15Ma pɔ ma tɩɩ ma weliŋ abee nala hʋ aa ko nyɩya wɩya a baa dɩ ba yaa Wɩɩsɩ tɩŋdaala rɛ. Ba sɩ ko ma lee a kɩɩ gɛɛ anɩɩ niweliye ma sɩya tɩyaŋ, amɛ ba tɩsɩ tɩyaŋ, ba kɩɩ gɛɛ rɛ anɩɩ gbopʋrɩsɩ. 16Ba wɩyaalɩya tɩyaŋ nɛ ma sɩ tɩŋa a gyɩŋ ba. Beewɩya sɔgyaŋ bee nɔŋ kyʋkyɔyɩ, sugulugu mɛ bee nɔŋ tutogi-naŋkpɩlɩya. 17Ɛɛ tɩɩ rɛ yaŋ, tɩya hʋ buloŋ aa kaŋ laaŋfɩya aa nɔŋ nɔŋweliye rɛ, tɩya hʋ mɛ aa bɩ kaŋ laaŋfɩya ʋ aa nɔŋ nɔŋbɔŋlɔrɩnɩ rɛ. 18Tɩya hʋ aa kaŋ laaŋfɩy"	a67d7e5d3610d53d9bcf4274655ed6e5
			"ÑƲƲ HIU Ɛsɔ tiyiyaa nɛ aleewaa pɔ-yɔɔ toovenim tɔm 1. Ɛbɛ yɔɔ pɩcɛyaa se ɖɩtɩlɩ Ɛsɔ tiyiyaa camɩyɛ? YEHOWA sɔɔlaa se ɖɩtɩlɩ ɛ-hɔʋ taa ñɩma camɩyɛ. Ɛ-hɔʋ taa ñɩma lalaa payaɣ se Ɛsɔ tiyiyaa. Bibl yaɣ-wɛ se “Ɛsɔ piya.” (Yɔb 38:7) Tʋmɩyɛ nɖɩ Ɛsɔ tiyiyaa lakɩ? Ɛzɩma pasɩnɩ ɛyaa caanaʋ taa? Papɩzɩɣ pasɩnɩ-ɖʋ sɔnɔ?—Kalɩ Tɩnaɣ yɔɔ tɔm 8. 2. Le Ɛsɔ tiyiyaa lɩnaa? Tiyiyaa ɛzɩma Ɛsɔ lɩzaa? 2 Le Ɛsɔ tiyiyaa lɩnaa? Koloosi 1:16 heyiɣ-ɖʋ se Yehowa lɩzɩ Yesu nɛ pɩtɛ lɛ, ‘ɛlɩzɩ pɩtɩŋa payɩ mbʋ pɩwɛ ɛsɔdaa nɛ t
..........
ʋdɔŋ nakʋyʋ taa yaa nɔɔyʋ mɩlɩ pa-pʋyʋ yaa alɩwaatʋ ndʋ pakpaɣ-wɛ efeletu yɔ. Ɛyaa sakɩyɛ maɣzɩɣ se tɩyɩtʋ tɩkɛ kɩdɛkɛdɩm. Ɛlɛ Bibl heyiɣ-ɖʋ se Yehowa tɩsɔɔlɩ kaaʋ se ɛ-sɛyaa etukuni tɩyɩtʋ lakasɩ nasɩyɩ.—Kalɩ Wayɩ Wayɩ Paɣtʋ 18:14. 12. (a) Ɛbɛ yɔɔ pɩfɛyɩ ɖeu se ɖɩyɔɔdɩnɩ mba pasɩba yɔ? (b) Ɛbɛ yɔɔ Ɛsɔ sɛyaa ɩɩlakɩ sɔnzɩ nzɩ sɩlɩnɩ aleewaa cɔlɔ yɔ? 12 Aleewaa tɩŋɩɣnɩ kpaca nakʋyʋ yɔɔ ɖɔɖɔ nɛ pepeɣziɣ ɛyaa. Patɩŋɩɣnɩ nʋmɔŋ nɩɩyɩ yɔɔ se ɖitisi se mba pasɩba yɔ, paɖaɣnɩ wɛʋ ɖoli nɛ ɖɩpɩzɩɣ nɛ ɖɩyɔɔ"	9e29871f5338c8522044d99bfe4521cc
			"Kwivri Kwivri ñɩɣtʊ pɛkpɛndaa nɛ pala ñɩɣyʊʊ ŋgʊ payaɣ se pʊrɔnzɩ (bronze) yɔ. Ɛlɛ, sɔnɔ yɔ Kwivri nɛ etɛŋ pa-ñɩɣtʊ pɛkpɛndaa nɛ pɩpɩsɩ pʊrɔnzɩ ñɩɣyʊʊ. Takayɩsɩ maʊ taa lɛ, payaɣ pʊrɔnzɩ ñɩɣyʊʊ ɖɔɖɔ se ɛɛrɛɛ (airain). Mbʊ payaɣ se kampanolozii (campanologie) yɔ, pʊ-tʊmɩyɛ labʊ taa lɛ, pʊrɔnzɩ kɛ ñɩɣtʊ ndʊ pɛkpɛndaa nɛ poluki ɛgaŋgala yɔ. Ñɩɣtʊ ndɩ ndɩ pɛkpɛndaa nɛ pala pʊrɔnzɩ ñɩɣyʊʊ. Ñɩɣtʊ ndʊ pɛkpɛndaa yɔ, ndʊʊ yɔ : Kwivri nɛ alimiiniyɔɔm nɛ plɔɔm (plomb) nɛ periliyɔɔm (béryllium) nɛ maŋganɛzɩ
..........
yɛ kpata taa lɛ, kuviri nɛ liidiye nɛ sika po-lona kɛ kʊyʊmdɩyɛ. Ɛwɛ tɛtʊ pɔɔɖɛ taa, ɛtakɩlɩ ɖɔʊ ɛlɛ ɛwɛɛ paa fezuu ŋgʊ lɛ kɩ-taa. Sakɩyɛ taa ɛyʊ kɩlɩna-ɩ labɩnaʊ tʊmɩyɛ ɛzɩ ɛkɛʊ ñɩɣlɩm wonuu yɔ. Kuviri kɛ ñɩɣlɩm pʊtʊnaa weyi ɛwɛna tɔlɩm ɖɔɖɔ ɛzɩ sika nɛ Osɩmɩyɔm. Nabʊyʊ naa taa lɛ paya-ɩ se kuviri kɩsɛmʊʊ ŋgʊ ɛsɛ haʊ taa lɛ, pɩkɛ kuviri nɛ zɩŋkɩ nɛ patʊɣɩ-ɩ hɩɖɛ se sʊtʊ sɛmɩŋ kuviri. Pɩkɛ tɛyɩŋ ñɩɣlɩm pɩyʊ mbʊ lɛ, ɛmʊʊ latriki miŋ nɛ pɩtɩŋna pʊyɔɔ nɛ ɛ-tʊma ɖɔɔ sakɩyɛ. Palakɩna tʊmɩyɛ kuduyiŋ m"	f7e02ca889b48af9383f2b6922f5be87
			"1""Sɩra paan••• mɔɔ n'a hɩrɛ awɔɔ m, gʋaa k'a n gasʋ seero bakʋ lɛ nɩ y, an bɔkarɛ an bɔɔra m, an gasʋ, bɩ zaa bɩ, koor m, hɔyɔrɛzaa m sɔ. 2Bɩ, gʋaa k'a gasʋ bakʋ bɩ lɛ m bɩ, bɩ zaa m seero wɔɔ dundor. 3Gʋaa k'a nɩ dɔm cɛlɛ ma bɩ n'a gʋm dundor bɩ m, seero wɔɔ n a tʋr ka a leer ma. A n a seero wɔɔ bir deem-deem ŋ tɔ ma, an bɔ ŋ nɩ garga ra. 4K'a bɔ ŋ nɩ haay, ka an nawʋrɛ ŋ lɛɛ, seero wɔɔ n zu a jɛ ʋ, kʋ ŋ y'a leer dɔ bɩ minto. 5Ŋ bɩ yɛrɛ, ŋnɩ zu saana jɛ ʋ y. A si ŋ nawʋm, ŋn'a gʋ saana bɩ ma, b
..........
Zerizalɛm Wosocɛ bankarɛ tɔdaanɔʋ cibsa bam. Nyɩnta a ʋ nyɛɛm dɔmɩm. 23Yeezuu nɩ bɩmbɩrm Wosocɛ ʋ b'ʋ Salomɔɔn laŋŋa gʋta kʋ n y'a dɔ jaa m bɩ taa b'ʋ. 24Zɩɩfʋrɔ wɔɔ n bɩ bɩr ma, ŋn'a hɩ m, ŋ ʋ: ""Kʋ Krista n'ɩbɩɩ nɩ, ɩbɩɩ wɔɔ tore ʋ hɔɔndarɛ nɔ ʋ, an ta, an dɔmɩm kara ku? A hɩ wɔɔ m paan•••!"" 25Yeezuu n a hɩ ŋ nɩ, a ʋ: ""Mɔɔ hɩ awɔɔ m, b'awɔɔ n a si y, ziro kʋ mɔɔ n nɩ barɛ m Zɩ tɔ ma rɔ wɔɔ ɩ mɔɔ kasɛtɩ kam. 26Bɩ, mɔɔ y'a hɩrɛ awɔɔ m, b'awɔɔ bɩr a sire y, kʋ mɔɔ seero bɛɛ n'awɔɔ m bɩ minto. 27Mɔ"	3e971ba46caa828121b3a3230ff6592f
			"Kɛdaɣ 12: Ɛyaa Maɣ Tilimiye Sɔsɔyɛ Pɩkɔm pɩla pɩnzɩ sakɩyɛ lɛ, Noa pɩyalaa lʋlɩ piya. Sɩsɩ paɣlaa lɛ, sɩlʋlɩ ɖɔɖɔ piya. Pitileɖi lɛ, ɛyaa ɖɔɔ ɛjaɖɛ yɔɔ. Pa-taa lɛlʋ lɛ Nimroodi, Noa sayɩnaa taa sayɩ nɔɔyʋ. Ɛɛkɛ ɛyʋ kɩdɛkɛdʋ weyi ɛkʋwaɣ kpɩna nɛ ɛyaa yɔ. Nimroodi pɩsɩ ɛ-tɩ wiyaʋ nɛ ɛtɔɔ kewiyaɣ ɛyaa lɛlaa yɔɔ. Nimroodi tɔm taakɛdɩnɩ Ɛsɔ. Alɩwaatʋ ndʋ tɩ-taa, ɛyaa tɩŋa yɔɔdaɣ kʋnʋŋ kʋyʋmʋʋ. Nimroodi ñɩnaɣ se ekpeɣli pa-tɩŋa nɛ ɛtɔɔ kewiyaɣ pɔ-yɔɔ. Pɩsa nɛ ɛla mbʋ lɛ, ŋsɩm mbʋ ɛlaba yɔ? Eheyi ɛyaa 
..........
Eyeba nɛ kʋnʋŋ kʋyʋmʋʋ ŋgʋ pɔyɔɔdaɣ yɔ, kisidi nɛ pɔyɔɔdʋʋ kʋnʋmɩŋ ndɩ ndɩ. Tilimiye mayaa ɩɩtaatasɩɣ nɩʋ ɖama tɔm. Mbʋ labɩna nɛ payaa tɛtʋ ndʋ se Babɛɛlɩ yaa Babilooni. Pʋ-tɔbʋʋ se lone nɖɩ ɖɩ-taa pesidi yɔɔdaɣ yɔ. Ɛyaa kʋyɩ Babɛɛlɩ nɛ pamɩzɩ tɛtʋ yɔɔ. Mba pɔyɔɔdʋʋ kʋnʋŋ kʋyʋmʋʋ lɛ, powolo pekpeɣli ɖama tɛtʋ hɔɔlʋʋ nakʋyʋ yɔɔ nɛ pacaɣ peeɖe. Kiɖe Tɛɛ Tɔm 10:1, 8-10; 11:1-9. Tɔm Pɔzʋʋ - Aakɛ Nimroodi? Ndʋ Ɛsɔ maɣzaɣ ɛ-yɔɔ? - Ɛzɩ ŋnaɣ kɩlɛmʋʋ yɔɔ yɔ, ɛbɛ yɔɔ ɛyaa wɛɛ palakɩ filikinaa? - Ɛbɛ yɔɔ "	b7302f9d696541960d9dbc70278d1569
			"Peenɛɛ Peenɛɛ ɛjaɖɛ kɛ payawaɣ ɖooo se Ɖahʊma nɛ kɩkɛ Afrika nɛ wɩsɩ ɖɩɖʊyɛ taa ɛjaɖɛ naɖɩyɛ. Ɖɩwalanzɩ kpayɩ taa lɛ, pɩmaɣna ɛzɩ 114 763 km2 nɛ ɖɩ-ɖalakɩŋ wɛ ɛzɩ kilomɛtana 670 yɔ. Pɩnaɣ 2013 taa lɛ ɛjaɖɛ nɖɩ ɖɩ-taa ɛyaa kaawɛ ɛzɩ 10 008 749 yɔ. Wɩsɩ ɖɩɖʊyɛ taa lɛ, Peenɛɛ sɩ kamaɣ nɛ Togo tɛtʊ, wɩsɩ ɖɩɖʊyɛ taa lɛ pɩsɩna Najeeriya, nɛ hayi kɩŋ lɛ, Nigerɩ nɛ Purkina Fasoo. Peenɛɛ wɛ kɩ-tɩ yɔɔ kpaagba wɛʊ kɛ kɩyɛna fenaɣ kacalaɣ wiye pɩnaɣ 1960 nɛ payawaɣ-kʊ pɩtɛ alɩwaatʊ se Ɖahʊma. Kɩmʊwaɣ kɩ-tɩ 
..........
 Pɔtɔ caca lɛ pawa Mathieu Kérékou nɛ ɛkʊyɩ kpelaɣ yɔɔ ɖɔɖɔ ɛzɩ pipɔzɩɣ yɔ. Pɩnaɣ 1996 paɖaɣnɩ tɔʊ caca lɛ, samaɣ lɩzɩ Mathieu Kérékou se ɛɖaɣnɩ kɛʊ Peenɛɛ ɛjaɖɛ ñʊʊtʊ. Wayɩ mbʊpʊnɛ pɩ-taa lɛ ɛtatasɩ kɩñazɩɣ tɔm nɛ ɖoŋ tɔm ɖɩɩnaʊ pɩkɔɔ pɩtalɩ 2006 pɩnaɣ taa. Pɔɔrto-noovoo kɛŋna tɛtʊ sɔsɔtʊ ɛlɛ, Kotonu kɔyɔ tɔsʊʊ nɛ ɛsɩnda wobu tɛtʊ sɔsɔtʊ kpem. Fransɩ kɛ pɔyɔɔdɩɣ Peenɛɛ ɛjaɖɛ taa nɛ liidiye nɖɩ pɔtɔkɩ yɔ ɖɩɖɩ lɛ fraŋseefa. Yayi Boni kɔyɔ Peenɛɛ ɛjaɖɛ ñʊʊdʊ kɩfalʊ. Ɛnʊ wabina Mathieu Kérékou kɛ c"	3ac3745ec71cd9d3926b0a0a16f16adc
			"1Kʋntʋ tɩn, abam maŋɩ sɩ 'a ta'a ye nɩ dɩbam yɩ Zezi Krisi tɩntʋŋna mʋ. Wɛ nan kwe DƖ cɩga kalʋ ya na səgi nabiinə yigə nɩ tɩn DƖ kɩ dɩbam jɩŋa nɩ mʋ, sɩ d'ɩ ta-ka d'ɩ brɩ nɔɔna. 2Ba nan na kwe woŋo ba kɩ nɔɔnʋ jɩŋa nɩ, kʋ maŋɩ sɩ o taa nii kʋ baŋa nɩ dɩ cɩga mʋ. 3- 4Kʋ nan na yɩ amʋ, abam naa nabiinə balʋ maama na di amʋ taanɩ te dɩ te tɩn, kʋ ba kɩ amʋ kʋlʋkʋlʋ. Amʋ bɩcarɩ nɩ a ye nɩ, kʋlʋkʋlʋ tərə a na kɩ a cɔgɩ. Nan dɩ kʋntʋ dɩ, a b'a wanɩ a pa a tɩtɩ bʋra, a na b'a wanɩ a di a tɩtɩ taanɩ tɩ
..........
. 10Dɩbam jigi jwəəru mʋ Zezi Krisi ŋwaanɩ, abam nan pa 'a yɩ swan tiinə mʋ Zezi Krisi tɔgɩm dɩm wʋnɩ. Dɩbam yɩ nabwənə mʋ, abam maa paɩ 'a yɩ dɩdɛɛra. Nɔɔna zuli abam, yɩ ba daarɩ ba gooni dɩbam. 11Dɩ zɩm maama dɩ, kana dɩ na-nyɔm jɩgɩ dɩbam, yɩ gwaarʋ muri dɩbam. Nɔɔna maa bɛɛsɩ dɩbam, yɩ d'ɩ ba jɩgɩ cirigim jəgə. 12Dɩbam maɩ d'ɩ tɩtɩ jɩa mʋ d'ɩ tiini d'ɩ tʋŋa, sɩ d'ɩ ma wanɩ d'ɩ na d'ɩ ni wʋdiu. Nɔɔna na twɩ dɩbam, d'ɩ ta yəni d'ɩ loori Wɛ mʋ sɩ DƖ kɩ-ba lanyɩranɩ. Nɔɔna na bɛɛsɩ dɩbam, d'ɩ t"	ef4f28200130f31d3c9d7ebcbba3ca24
			"Tɛtʊ wondu cikpetu Tɛtɛ wondu cikpetu wɛ wondu ndʊ tɩfɛyɩna mɔɔ yɔ tɩ-pɩlɩŋ taa. Tɛtɛ wondu cikpetu tʊnɛ tɩwɛna hɔɔlɩŋ sɔsɔŋ naatozo: ñʊʊ, laŋgɩyɛ nɛ lotu. Ñʊʊ yɔɔ lɛ, ɛsa naalɛ, ŋjʊyɛ nɛ hɩlɩŋ naalɛ sɛŋŋŋ sɛŋŋŋ. Laŋgɩyɛ yɔɔ lɛ acɩya looɖo wɛna, naatozo nʊwaŋ yɔɔ nɛ naatozo ɖɔɖɔ nɩmɩyɛ yɔɔ. Laŋgɩyɛ yɔɔ ɖɔɖɔ kɛ keŋ naalɛ wɛɛ nɛ nabʊyʊ taa lɛ kɛŋ ɩnʊ ɩtɩkɩlɩ ɖaalʊ. Piyele laŋgɩyɛ huuzina lotu yɔɔ kam. Tɛtɛ wondu cikpena wena atɛma wɛʊ yɔ aɖɛ ɛzɩ miliyɔnaa 1,3 yɔ nɛ wena ɑɖɩɩna lɩuʊ efemiye efemiye
..........
 payɩ lɛ, tɛtɛ wondu cikpetu pɩlɩŋ kɩlɩna ɖɔʊ nɛ pɔtɔma se pakalɩɣ pɩlɩŋ ɩnʊ yɔ, ɩtalʊ pɩlɩŋ 80 mbʊ yɔ. Pʊ-tɔbʊʊ se mbʊ pifezuu ɛjaɖɛ yɔɔ cɩnɛ yɔ pɩtɩŋga pɩtaa lɛ, pakpaɣ-tʊ mɩnɩʊ kɔyɔ, tɛtɛ wondu cikpetu ndʊ tɩtala ɛzɩ 80 yɔ (80 %). Yee pakpaɣ tɛtɛ wondu tʊnɛ tɩ-tɛ pɩlɩŋ kpɛndʊ kɔyɔ, pɩwɛ ɛz ɩ ɛyaa tɛ tɔm 300 taa yɔ, nɛ naanza taa kɛ tɛtɛ kpɩna sɔsɔna taa yɔ. Tɛtʊ wondu cikpetu ndʊ tɩwɛna keŋ nɛ tɩkʊyʊ wɛ tiɖeke tɩtala mbʊ pifezu yɔ pɩtɛ hɔɔlʊʊ kɛ mɩnɩu yɔɔ. Tɛtɛ wondu cikpetu tʊnɛ, ndʊ kɛŋna ɖ"	66c1d49c70812638605b2cc85c8e1e76
			Bilbao tɛ ɖeɖe wondu kuduyuu Guggenheim (musée Guggenheim de Bilbao) Bilbao tɛ ɖeɖe wondu kuduyuu Guggenheim kɛ payana anasaayɩ taa size musée Guggenheim de Bilbao Ɛsɩpaañɩ ɛjaɖɛ taa. Ɖeɖe wondu kuduyuu Bilbao n̄ɩŋgʋ kʋnɛ, kɩkɛna keɖeyaɣ kuduyuu ŋgʋ pama-kʋ nɛ sɔnɔ lɛɣtʋ nɛ lɔŋ pa-matʋ tɩyɛ yɔ. Keɖeyaɣ wondu kuduyuu kʋnɛ, kɩwɛ Bilbao tɛtʋ taa Ɛsɩpañɔɔlɩ taa. Patʋlaɣ kʋ-nɔnɔsɩ pɩnaɣ 1997 ñɩŋga taa. Kedeŋa kpeekpe yɔɔ cɩnɛ kuduyiŋ naanza ɖeke kɩlɩna-kʋ kɛɖewa. Ɖajaa Solomon R. Guggenheim mana-kʋ. Matʋ lɛɣtʋ kɩfatʋ yɔɔ patɩŋnaa nɛ pama kuduyuu ŋ́gʋ. Ɖajaa Frank Gehry lɩzɩna kɩ-kɩlɛmʋʋ nɛ pʋcɔ pama-kʋ. Ɛ-lɩzɩtʋ ndʋ tiyebina nɛ, ɛ-hɖɛ sɛɛ pɩdɩɩfɛyɩ. Pʋ-yɔɔ pɩtɩŋnaa nɛ paha-ɩ kuduyiŋ sɔsɔŋ maʋ kɩlɛmɩŋ lɩzʋʋ samtʋ nimiye. Keɖeyaɣ wondu kuduyuu kʋnɛ, kɩpɩsɩ sɔnɔ kuduyuu ŋgʋ pakɩlɩ sɩm kpem kedeŋa yɔɔ cɩnɛ. Kɩkɛna ñɩm sɔsɔm ɛjaɖɛ nɖɩ ɖɩ-taa pama-kʋ yɔ.	25d5fb84f6a68b9cf367b0f8db48e409
