"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"Дүйшөн Ирсалиев Бишкек Эркин экономикалык аймагына жетекчи болуп келгенден тартып, бул мекемени мамлекет үчүн иштей тургандай шартты жаратып, бул жердеги алешемдиктерди жойгондугун бир катар массалык маалымат каражаттары, адистер жана белгилүү эксперттер белгилеп келишет. Ал мамлекеттик мүлктү башкаруу фондунун төрагасы болуп турганда, Centerra Gold Inc. компаниясынын директорлор кеңешине чет элдик адистерди киргизе турган кагазга кол коюудан баш тартып, кызматын өткөзүп берген. Ал кезде чет өлк
..........
у аркалап келет. Муну менен катар, жакында эле болуп өткөн президенттик шайлоодо Сооронбай Жээнбековдун түндүк аймактары боюнча штабын жетектеп, өзүнүн уюштуруучулук жондомун менен мыкты көрсөткүч алып берди. Өзүнүн туулуп өскөн Кочкор району 74 % ашык добуш алып республика боюнча 3 орунду ээледи. Ошто Жээнбековго мен көп добуш алып бердим болуп, 4 адам ич ара тытышып жатканына күбө болуп, бери жакта туруп биз уялдык. Ал эми Дүйшөн Ирсалиев мындай мактануудан алыс болду. Аны эми чоң кызмат сурай"	e7bbb7ecb96c2494084bf0d4e13deeb2
			"Ала кийиз (Карала кийиз)- «Кыргыз кийизге туулат» (макал). «Ала кийиз, төшөк жок, Жерге жатты кайран эл» (Ысак). Түр-оюм түшүрүлүп, уютулуп жасалган кийиз буюм. Алардын толук жердиги жүн болгондуктан элибизде кийиз буюмдары арбын. Бул адими буюм катары бааланат да, узак убакыт урунууга шартташкан. Ала кийиз (карала кийиз) деген ат илгери кара жана ак койдун жүнүнөн эле түр түшүрүүнү түшүндүргөн. Уяң жүндүн баары эле боекко жакшы кириши мүмкүн эмес. Кылчыктуу, жарым кылчыктуу жүндү да боёкко абда
..........
кача айтканда көп боёктордон сүрөтчүлөрдүн пейзажын элестете алышы керек. Эгер көркөм буюмга ак, жашыл, кызыл, сары өңдөр болсо, анда көк-жашыл менен ак-кызыл менен жупташат. Мунун четине «чагырмактан», «ит куйруктан» ак-кызылдан «аламыч» түшөт да, буюм ортосунда төрт табакча үзүл - кезилсиз берилет. Фону кызыл өңдүн ичинде «кош мүйүздүн» үстүнөн «кайкалак» (мүйүздүн башка түрү) түшөт. Ал «карга тырмак» менен да айырмаланат. Минтип айтып жаткан себебибиз мыкты оймочулар жөнөкөй оюмдарды түрлөнтү"	2ff8a339fb4dcbff22d5fefd94727005
			"Бий Бий — уруу башчысынын мансап наамы же даражасы. Уруулук мамилелер үстөмдүк мезгилинде бийдин орду бийик деңгээлде болгон. Анын бийлик жүргүзүүсү адатка негизделген. Бий үй бүлөлүк, чарбалык иштерден согуштук-саясий иштерге чейинки маселелерди чечкен. Ал мурас катары атадан балага өткөн. 19-кылымдын 1-жарымынан бий мансабы манаптарга, үрп-адаттарды жакшы билген барктуу аксакалдарга, эл арасында даңкы чыккан чечендерге өтө баштайт. Бийлер чоң манаптарга баш ийип, алардын таламдарын жакташкан. 
..........
урулат. Бийлер соту 3 жылдык мөөнөткө шайланып, кылмыш иштери боюнча бир жарым жылга чейин камак жазасын берүүгө же үч миң сомго чейин айып салууга укуктуу болгон. Бий мансабы айылдык бийге, болуштук бийге бөлүнгөн. Бийлердин атайын чакырылган курултайында кыргыз урууларынын, коңшулаш жашаган башка элдердин талаш-тартыштары каралган. Октябрь революциясынан кийин айрым жерлерде казы менен болуш соту убактылуу калтырылып, алар жөнүндө атайын жобо чыгарылган. Бий соту советтик сот органдарынын көзө"	31258ab3266f5f957431b43a7269c855
			"Антропология Антропология (грек тилинен anthropos - адам, logos - илим) - кишинин табигый тарыхы, жаралышы, эволюцияланышы, кишинин морфологиясы жана адамзат расаларынын пайда болушу жөнүндөгү илим. Колдонгон ыкмалары жагынан биологиялык илимдердин тармагына кирет. Бирок, адамдын социалдык өзгөчөлүгү антропологдорду тарыхый изилдөөлөрдүн жыйынтыктарына кайрылып, тарыхый маселелерди чечүүгө жардам кылат. А-нын тарых м-н байланышкан тармагын тарыхый А. деп аташат. Тарыхый А. айрым аймактардагы ада
..........
ын, ба-йыркы миграциялар, расалык типтердин калыптанышын изилдейт. Адамдын баш сөөк-төрү (краниологиялык материал) аркылуу байыркы мезгилдеги калктардын миграциясы аныкталса, ошол маалымат тарыхый жазма булактар аркылуу такталышы мүмкүн. Мис., байыркы түрк доорундагы краниологиялык материалдар аркылуу Теңиртоодо жашаган калктардын Алтай, Түштүк Сибирь м-н генетикалык байланышта экендиги аныкталган. Мындан тышкары, А-нын маданий А., этностук А., пед. А., популяциялык А., мед. А., экологиялык А., "	ae1f1c6f245a1c34b5c2b466c4a68e03
			"20-октябрда Эл өкүлдөр жыйынынын өнөр жайды стратегиялык өнүктүрүү жана ишкерлик боюнча комитетинин жыйыны болуп, анда Бишкекте административдик-маданий-ишкерлик борборду куруу, “Кыргызтелекомду” сатуу жана энергетика маселелери каралды. Эл өкүлдөр жыйынынын комитетинде каралган маселелердин дээрлик баары чырлуу болду. Биринчи маселе боюнча Бишкекте административдик-маданий-ишкерлик борборду куруу боюнча премьер-министр Николай Танаев маалымат берүүгө чакырылса - ал келбей калды. Муну комитет мү
..........
брь айында жарыяланган. Бирок тендердин экинчи этабы аяктай элек. Ал эми Эл өкүлдөр жыйыны болсо тендер өткөрүүдө мыйзам бузууларга жол берилген деп, сатууну токтото турууну сунуштаган токтомду июль айында кабыл алган. Комитет жыйынында бул чаташкан маселени иликтөө Башкы прокуратурага тапшырылды. Андан соң комитетте кышка даярдык көрүү маселеси каралды. Жыйында айтылганга караганда бул өнөктүк солгун жүрүүдө. Тактап айтканда,“Узтрансгаз” менен 2004-2005-жылга газ сатып алуу боюнча келишим түзүл"	1dab9145d215aecdc339465564325528
			"1Исса, онекисин жыйып, битеу жинлени къыстаргъа, аурууладан сау этерге алагъа кюч эм эркинлик берип, 2Аланы Аллахны Патчахлыгъын билдирирге эм ауругъанланы сау этерге ийди. 3Эмда алагъа: «Жолгъа бир зат да алмагъыз: не таякъ, не артмакъ, не ётмек, не кюмюш, эки къат кийимигиз да болмасын. 4Эм къайсы юйге кирсегиз да, анда къалыгъыз, жолгъа да андан тебирегиз. 5Сизни не жерде къабыл этмеселе уа, ол шахардан чыгъа туруп, алагъа шагъатлыкъгъа аякъларыгъыздан букъуну да къагъып тюшюрюгюз», – деди. 6
..........
олсада, уянып, Иссаны аламатлыгъын, эки кишини да Аны бла сюелип тургъанын кёрдюле. 33Сора ала, Иссаны къатындан кете туруп, Петер не айтханын да билмегенлей, Иссагъа: «Устаз! Бизге мында турургъа игиди. Юч чырпы къошчукъ этейик, Санга бирин, Мусагъа бирин, Илиясха да бирин», – деди. 34Ол муну айтхан заманда уа, бир булут, келип, аланы жапды. Булутха киргенлеринде бек къоркъдула. 35Эмда булутну ичинден: «Бу Мени сайланнган Уланымды; Анга тынгылагъыз», – деп сёлешген ауаз келди. 36Бу ауаз тохтагъ"	f965c5376c00015d26f5852845a27dd6
			"Эгерде текстте ката тапсаңыз, белгилеп Ctrl+Enter басыңыз Россиянын федералдык коопсуздук кызматы өткөн жумада Москва менен Санкт-Петербург калааларында жана Борбордук Азияда террордук актыларды жасоону көздөгөн ондон ашык адам кармалганы тууралуу маалымат тараткан. Камакка алынгандар ""Ислам мамлекети""деп атаган террордук уюмуна катыштыгы бар экенин моюндарына алышкан. Операция Россиянын Ички иштер министрлиги менен Кыргызстан, Тажикстан жана Россиянын атайын кызматтары менен биргелешкен аракети
..........
яда , ДАИШтин согушкерлери окшоп Париж менен Ниццадагыдай террордук актыларды уюштурганга аракет кылышканы байкалат. Бүгүнкү күндө Россияда мурдагы Федералдык Миграция кызматынын маалыматы боюнча Борбордук Азиядан 3,2 миллион жана Азербейжандан 522 757 эмгек миграттары иштейт. Анын ичинен Өзбекстандын 1 миллион 880 миң 547,Тажикистан 862 миң 321 жана Кыргызстандын 553 миң 910 жарандары. Эмне үчүн айрым борбордук азиялык жана кавказдык мигранттар “Ислам мамлекети “-деп атаган террордук топтун кат"	32fd101a3bf97c534d5830c71bd57017
			"А.Карашев ""Ата Мекен"" партиясын кантип тизеге чапкан? 2007- жылкы парламенттик шайлоодо ""Ата Мекен"" партиясы Ош шаарынан 0,5 пайыздык тосмодон өтпөй, Жогорку Кеңешке кирбей калган эле. Маарага ""Акжол"", Кыргызстан коммунисттери жана КСДП жетип, Курманбек Бакиевдин авторитардык бийлиги дал ошол мезгилден баштап чыңала баштаган. ""Ата Мекен"" партиясынын лидери Өмүрбек Текебаев жетишкен жеңишин көз көрүнөө колдон алдырып, үйбүлөлүк бийлик акыйкатты тепсеп киргенин алгачкылардан болуп айтып чыккан. Би
..........
иевдик кландын ишенимине арзыганы белгилүү. Анын огожосуна губернатор болуп эки жыл Ошто ""ийгиликтүү"" иштеп, кийин 2009-жылы күзүндө ""көз акысына"" өкмөттөн вице-премьерлик кызматты энчилеген. Бакиевдин ""ооз басырыгы"" чындап эле оозун басканбы, айтор, ал ""Ата Мекенди"" кантип тизеге чапканы тууралуу ""эрдигин"" айтуудан азыр айбыгат. Анткени заман башка, кожоюндар бөлөк. А бирок, ал кезде, 2008-жылдын январында, ал Жаныш жана Максим Бакиевдер менен шайлоодогу жеңишти жууп жатканда ""улуу урматтуу пре"	175d5d4d26c55b1200d97f51bd5ab67b
			"Эл өкүлү массалык башаламандык уюштуруп, бийликти күч менен басып алууга даярдык көргөн деп айыпталууда Жээнбеков президенттик шайлоого КСДП партиясынын атынан бирдиктүү талапкер катары көрсөтүлгөн Буга чейин орозо айт 26-июнь күнү болору айтылган. 30-31-декабрь ишемби жана жекшемби күндөргө туура келет Дүйшөнбек Зилалиев аталган кызматка ноябрь айында дайындалган Кулматов буга чейин Улуттук банктын төрагалыгын аркалап келген Кыргыздын улуттук оюну Түштүк Кореянын Чежу аралында каралган Өкмөттөн
..........
а юстиция министри болуп турган кезде Алексей Елисеевдин адвокаттык лицензиясын кызмат абалынан кыянаттык менен пайдаланып калыбына келтирип берген деп кылмыш ишин козгогон Вице-премьер-министр Темир Жумакадыров жол кырсыгына кабылып каза тапканын укук коргоо органдарындагы булак тастыктады Жол кырсыгы Садовое айылында болгон. Бүгүнкү дебатка президенттикке талапкерлер — Сооронбай Жээнбеков, Токтайым Үмөталиева, Арстанбек Абдылдаев жана Өмүрбек Бабанов катышат. Боршайком президенттикке талапкер "	97f8b7e61e7ace1a314bbed7feec4fb9
			"Дьокуускай Дьокуускай (нууч. Яку́тск) диэн Саха Өрөспүүбүлүкэтин киинэ, Өлүөнэ кытылыгар Туймаада хочотугар турар куорат. Былыргы сахалыы аата Туймаада. 1632 сыллаахха олохтоммутунан ааҕыллар. Олохтоохторун ахсаана 284115 киһи, ол иһигэр куорат бэйэтэ 264069 киһи (2009 сыл). Ис хоһооно Историята[уларыт] 1632 сыллаахха Бекетов баһылыктаах нуучча хаhаахтара Өлүөнэ кытылыгар, билиҥҥи Уус-Алдан сиригэр бастаан остуруок туппуттар. Онтон нуучча хаһаахтарын тойоно Иван Галкин Өлүөнэ остуруогун халаан у
..........
ахха Сибиирдээҕи бирикээс Саха уеһын уонна куоратын чертежтарын оҥорорго ыйаах таһаарар. Онтон нөҥүө сылыгар тохсунньу 31 күнүгэр үрүҥ көмүс бэчээти оҥотторон ыытар. Бу кэмтэн ыла остуруок бүтэһиктээхтик куорат аатын сүгэр[1]. Климата[уларыт] Салгын температуратын орто кээмэйэ (2012 сыл)[2]. Демография[уларыт] Дьокуускай куорат - элбэх омуктан олорор куората, манна сахалар, нууччалар, кытайдар уонна да атыттар олороллор. Омуктар ахсааннара (нелегаллары аахпакка туран)[уларыт] Испииhэккэ 10-тан т"	d54cb82c74ee4074de89acbfb1a6d5f1
