"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"Amsterdam Amsterdam a l'è a capitâ di Paixi Basci. A l'è stæta fondâ into sécolo XII comme vilàggio picìn de pescoéi, però anchêu a l'è a ciû grande çittæ do pàize e 'n gran çentro commerciâ e coltûrâ a livello internaçionâ. Con 'na popolassion de çirca 841.000 abitanti e çirca 2,4 millioîn inte l'area metropolitann-a (2014), Amsterdam a fa pârte do gran nûccleo ûrban olandeize dïto Randstad (insemme a-e çittæ de L'Aja e Rotterdam), c'o g'ha ciû de 6,5 millioîn d'abitanti e o forma ûnn-a de ciû gren zöne popolæ d'Euròpa. O sêu çentro stòrico o l'è ascì ûn di ciû grendi d'Euròpa, co-i famoxi canæ. Gh'è anche o sestê a lûxe rosse, dove se prattica a prostitûçion, legalizâ inta quella pârte, e gh'è 'n sestê gay e o coscidïto Homomonument, c'o l'aregorda a mòrte de çinquantamilla òmosessuâli inta Segonda Guæra Mondiâ. A l'è conosciûa pe-a sêu tolleransa e diverscitæ, o sêu liberaliximo, e a ""mente averta"" da sêu popolassion."	9bf6a70f1ec01b7194b80ade78831a9d
			"A Bocca A Bocca (in spagnollo La Boca) o l'è 'n quartê (barrio) d'a çittæ de Bonesaire, in Argentinn-a. Indiçe Dæti generâli[Càngia | modifica wikitesto] O s'attrêuva inscio confin sûd d'a çittæ e o déve o sêu nomme a-a sêu poxiçion inscia foxe (o ""bocca"") d'o sciûmme Matanza (ciammòu Riachuelo, ""rianello"") into Río de la Plata. - Popolassiôn= 46.494 ab. - Sûperfiçie= 3,3 km2 - Denscitæ= 14.089 ab. / km2 Stoja[Càngia | modifica wikitesto] Primma d'o 1860[Càngia | modifica wikitesto] Quande l'Arg
..........
l'è stæto eletto pe-o Côngresso argentin da-o quartê da Bocca into 1905. A Repûbbrica da Bocca[Càngia | modifica wikitesto] Inte 'sto quartê, into 1882, 'n grûppo de rescidenti liguri han vosciûo fâ, in mëzo a 'n conflitto labôrâle, a ""Repûbrica da Bocca"", isando a bandëa de Zena e infôrmando o Rè d'Italia d'a sêu indipendensa da l'Argentinn-a. Finalmente o conflitto o l'é stæto risolto da o prescidente argentin Julio Argentino Roca. Pompê Volontâi da Bocca[Càngia | modifica wikitesto] Into 1884"	8d5970e39302ee03a2efff9a17135fe6
			Budego O Budego (nomme scientifigo Lophius piscatorius) o l'è un pescio da famiggia di Lophiidae. Distribuçion geografica.[Càngia | modifica wikitesto] Mâ Mediterraneo, Mâ Neigro, Mâ do Nord e Oçeano Atlantico fin a e coste africann-e. Dimensciuin[Càngia | modifica wikitesto] O pö arrivä fin a duxento citti de lunghessa e çinquanta chili. Aspetto[Càngia | modifica wikitesto] O budego o l'è de cô maron-negro, o gh'ha unna testa molto grossa, con unna prominensa usâ comme canna da pesca per attirâ i atri pesci. Abitüdini[Càngia | modifica wikitesto] O budego o l'è un pescio solitaio, ch'o vive in scio fondo do mâ. Gastronomia[Càngia | modifica wikitesto] Ben conosciüo pe a bontæ de sö carni magre e savoïe, o se cuxinn-a co-e tomate in ta poela o in to forno. Curiositæ[Càngia | modifica wikitesto] A poula budego o budega a l'è de longo usâ pe dï unna personn-a grassa.	5a98580b44c53c9fc36d281c86e14d7e
			Provinge de Perugge 'A Provinge de Perugge ète na provinge de l'Umbria de 664.523 crestiáne. 'A provinge de Perugge confine a nord-est cu 'a provinge de Pesaro e Urbino, cu 'a provinge de Angone, cu quedde de Macerata e cu quedde de Ascoli Piceno, a sud cu quedde de Rieti e cu quedde de Terni, e a ovest cu quedde de Siena e cu quedde de Arezzo. [cange] Storie [cange] Sciugrafije [cange] Comune pringipale [cange] Note [cange] Otre pruggette - Wikimedia Commons tene file multimediale pe la Provinge de Perugge	cba7ca2920f07a18197a213c87339af8
			"immaggine in rete grazzie Ciao regà, pe quelli che me leggono e pe quelli che sò novi de sti spazzi virtuali. Mo da quarche anno che scrivo sur brogghe e su faccebucche. Ce scrivo in itajano e puro ‘n romanesco “Bassiano”, inventato da la sora Cencia. Se ve capita …che nun sete de sta tera, nun ve preoccupate pe le doppie, pe quarche parona che nun ve sona bbene e pe quarche sbàjo, ahò è tutto aggratise. Vabbè io ce provo a favve fa quarche risata, vista la grisi che ce trovamo. Tratanto sti sig
..........
jocchelli che je rigalamo, pe quello che nun fanno. Che je frega de noantri, che gni mese famo un buco novo ne la cinta? Vabbè mo fate ‘na bbona ggiornata de serenità a panza allaria, istesso a sto micetto e aricordateve che li bajocchelli puro se ce servono sò sortanto pezzi de carta. La sora Cencia (franca bassi) 4 thoughts on “Er dialetto “bassiano”” - Ormai, Franca carissima , il tuo vernacolo è diventato a d.o.c. ! Che se la prendano comoda , i nostri governanti,pare anche a me e , malgrado"	4c12c8f115da62b98c4a46cb018850c8
			"Emma Goldman Emma Goldman, anarchega e femminista russa (Kovno, Lituania, 1869 - Toronto 1940). A se transfei inti Stati Unii ancon adolescente (1885), arestando corpia da-i moti de Chicago e da-a condanna a morte di 5 anarcheghi arrestæ (i «martiri de Chicago», 1887). Intrâ in contatto con l’ambiente anarchego, a se ligò a Alexander Berkman, ch'o fu so compagno de vitta e de lotta. Con lê a l'organizzò l’attentao a-o padron de una fabbrica responsabile di açioin squadriste e da morte di arcun o
..........
1894) pe incitamento a-a sovverscion. Una votta liberi G. e Berkman refúon l’uso politico da violença e dettan vitta a-o giornâ Mother Earth. Into 1917 G. a fu torna arrestâ a caosa de so poxiçioin antimilitariste. Espulsa da-i USA co-o so compagno, a se trasferì inta Ruscia sovietica (1919), ma doppo a rivotta de Kronstadt (1921) tutti doi lascion o paise. Doppo avei visciúo inte varie çittæ eüropee (Stoccorma, Monego, Londra ecc.), arestaa sola doppo o suicidio de Berkman, a-o scciœuppo da guæ"	090006521f3bd2408d504c602aea1acc
			"Family Guy Episode Scripts Partial Terms of Endearment ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÜÑæå ÊÜÑÌÜãÜå ÊÜÞÜÏíÜã ãÜí ÜäÜÏ ÊÜÜÜÑÌÜÜãÜÜå æ ÒíÜÜÜÑäÜÜÜæíÜÜÜÓ BreakingBad_Sub@yahoo. com ÞÜÜÓÜÜãÜÜÊ 21 ÇÒ ÝÜÜÕÜÜá 8 ÞÓãÊ ÂÎÑ ÈÑÇí ÏíÏä åãáÇÓí åÇã áÍÙå ÔãÇÑí ãí äã ÞÑÇÑå áí ÍÇá äíã ¡ ãå äå
..........
Ñæ ÈÇåÇÔ Èå ÇÔÊÑÇ ÈÐÇÑíã íå ÕÏÇí æ Ïíå ÏÑ ÕäÏáí ÚÞÈ ãÇÔíä íå ""ÜÜÑíÜÜÝÜÜä"" Ïíå å ÈåÔ ÚÔÞ ÈæÑÒí æ Çæä åã ÈåÊ ÚÔÞ ÈæÑÒå ÓÞØÔ ÑÏíã ÊÜÜÜÑÌÜÜãÜÜå æ ÒíÜÜÜÑäÜÜÜæíÜÜÜÓ ÇãíÏæÇÑã ÇÒ ÊÑÌãå Çíä ÝÕá áÐÊ ÈÑÏå ÈÇÔíÏ com ÞÜÜÓÜÜãÜÜÊ 21 ÇÒ ÝÜÜÕÜÜá 8 ÞÓãÊ ÂÎÑ ÈÑÇí ÏíÏä åãáÇÓí åÇã áÍÙå ÔãÇÑí ãí äã ÞÑÇÑå áí ÍÇá äíã ¡ ãå äå ""ÜÜíÜÜÊÜÜÑ"" ¿ ÍÊãÇð ¡ íå ÇÊÇÞíå ÏÑ ÍÇá ÇäÝÌÇÑ ÇÒ ÂÏã åÇíí å äãíÔäÇÓí ÊÑÌíÍ ãíÏã Îæäå Èãæäã æ ÑÔÏ ÚáÝ åÇ Ñæ ÊãÇÔÇ äã íÇáÇ ¡ íÇáÇ ! áÜÚÜäÜÊ Êæ å ãÚÐÈ äíÓÊí ¡ åÓÊí ¿ ÝÞØ ÇÒ ÏíÏä ÓÇíí å ÞÈáÇð ÈÇ Êæ ÞÑÇ"	d6bb84595c756248056d7fa1c8c0d1a0
			"Lengua mandarinn-a O mandarìn oppûre cineise mandarìn o l'è l'insemme de dialetti cineixi comprenscibili tra de lö, parlæ into nòrd, çentro e sûd-òvest da Cinn-a. O sêu nomme cineise o l'è běifānghuà (inta scrittûa tradissionâ: 北方話 / inte quella scimplificâa: 北方话, ""a pârla do nòrd""). Comme lengua ûffiçiâ da Cinn-a, o l'è a ciû importante variante parlâa da lengua cineise, con ciû de 836 millioîn de parlanti. O l'è molto diverso da-i dialetti do sûd, comme o cantoneise òu o wu, finn-a esse conscideræ de-e vòtte comme lengue diversce."	769575837ce40c466e2a646e845d930f
			"Enrico Malan Pesci e béstie de marina int’u parlà Ventemigliusu Capituli d’u libru Prefaçiun Mene de pesca in Ligüria E mode pe’ pescà u luvassu Divisiun d’ê bestie de marina Lista d’ê bestie de marina Glossariu Prefaçiun Dopu i libri: “Erbe, ciante e sciure int’u parlà Ventemigliusu” e “Auxeli int’u parlà Ventemigliusu”, stu tersu libru u mete in lüxe i pesci e e autre creatüre viventi, ch’i l’ince de vita a nostra marina, dandu aiscì l’infurmaçiun de cum’i se ciama in ventemigliusu. E bestie d
..........
atà inte l’arena, lasciandu sporze sulu i ögli e a prima ařéta d’a schina, aspeitandu ghìmbari e pecin pesci, ch’a l’aganta asbrivànduse in avanti, pe’ aciatàsse sübitu dopu. A se pesca cu’e re’ a strascegu, a sciàbega e e re’ da posta. Besögna tagliàghe aviau a spina velenusa, avanti de pùnzise, avéndughe pöi duřui forti e cuntügni. Ařagna de fundu - Trachinus araneus L’Ařàgna de fundu a l’à a schina de curù grixu-russastru maciau de negru, i lai giauni cun sei o sete mace negrote. l’ařéta d’a "	cd26576c94e311ef9e38654e1da0a026
			Magrun grossu neigru Magrun grossu neigru (Phalacrocorax carbo), grossu oxellu de mâ de cû scüu, cu-in lungu beccu a cancætu e in lungu collu a cantabrün-a. U l'e lungu da 70 a 102 cm. cu-in avertüa di ae da 121 a 160 cm. U xöa bassu, a 'n metru da l'ægua, cun sbatte di ae cunstante. U passa tantu tempu inmobbile in scî scöggi a suigiâse , soventi cu-e ae averte pe sciügâse e ciümme, doppu c'u l'ha fætu u bagnu. Ecelente pescou, u se bulla ogni menütu, u l'aresta sutt'ægua 45 segundi, u turna sciü, magara 100 metri ciü in la, u repiggia u sciou pe chinze segundi e u se bulla turna. Pâ che in Cin-a e in Giapun î dövian pe pescâ: i tegnan ligæ o-u strilæn e ghe strenzan in laççu o-u collu de moddu che nu possan culâ i pesci che piggian; i fan anâ inte l'ægua e da pö î tian sciü e ghe fan caciâ i pesci che gh'è arestou intu canuezu.	eb35e36a4dee50699c6eefc8b375df3e
