"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			- #PMLive: Archdiocese of Tororo Youth are leaders of today, not tomorrow - 12 mins ago - #PMLive: Parliamentary health committee visits Kawempe hospital - 19 mins ago - #PMLive: Cabinet approves National coffee Bill 2018 - 23 mins ago - Enkuba ebomodde oluguudo. - 6 hours ago - Omulamuzi alambudde ekizimbe ekikayaanirwa. - 6 hours ago - Okusabira abaana ababiri abattiddwa . - 6 hours ago - Enkayaana ku ttaka lya Nakku. - 6 hours ago - Abeebulankanya ku mirimu bubakeeredde. - 6 hours ago - Abagenda e Budaaki basisinkanye. - 6 hours ago - YIGA OLUGANDA ; Olulimi Olunnyonnyozi. OKWEBAKA - 7 hours ago Supreme Mufti Avumiridde Ettemu mu Ggwanga Supreme Mufuti Seeka Kasule Ndirangwa yekokodde emitima egyekko egifumbekedde mubanayuganda nga tebakyatwala bulamu ngekikulu. Sseeka Ndirangwa agamba nti kyenyamiza okulaba nga kati abakyala nabaana batandiise okutta ba Semaka era bwatyo awanjagidde abantu okusabira ennyo ensi, naddala ng’abasiraamu betegekera omwezi omutukuvu ogwa Ramadhan.	1ec6c44abc8f5a7ca6aa743a4a66326d
			Bya PHIONA NANYOMO OMUKAZI asuddewo omwana we eyakonziba n’agenda afumbirwa mu ddya eddala. Bino byabadde mu kabuga k’e Mateete mu disitulikiti y’e Ssembabule, Margaret Nangozi 29, bwe yasuulidde nnyina Veronica Namuddu abaana babiri okuli omuto Kizza Namanda 2 ne Enock Tumusime 13. Abakulembeze mu kitundu n’abataka bavuddeyo ku mbeera y’abaana bataase obulamu bw’abwe. Namuddu mutuuze ku kyalo Nakasenyi Kiteredde mu ggombolola y’e Mateete mu disitulikiti y’e Ssembabule agamba nti talina kya kubaliisa ate nga n’envuza zibaluma. Namuddu yategeezezza nti okuva maama w’abaana bano abasulawo taddanga era bwe bamutumira abantu okujja abategeeza nti talina budde. Akola ku nsonga z’abaana n’amaka ku poliisi y’e Mateete, Beatrice Nassanga yategeezezza nti poliisi etandise okunoonya Kyagera ne Nangozi bavunaanibwe omusango gw’okusuulawo abaana.	4f749a9a97a442d589256a9a0aa2a7c4
			"Bya Shamirah Nabiddo POLIISI e Kawempe ekutte omukulu w'essomero lwa kutulugunya bayizi, ng'omu yamukubye namuggyamu amannyo namumenya n'omukono ng'omulala yalagidde omusomesa okumwokya omumwa lwa kubba mugaati gwa muyizi mune. Omukwate ye Maurice Tukundane nga yakulira esomero lya Wamala Parents erisangibwa mu munisipali y'e Kawempe. Ono okukwatibwa kyadiridde abaana babiri nga baluganda okutulugunyizibwa ku ssomero okuli Jovan David Kayiwa 11 ng’asoma p.5 ne mune Owen Mathew Banadawa 7 ng’asom
..........
phine Namatovu agamba nti alina abaana basatu mu ssomero lino mu kisulo nga yabatwalayo mu lusoma olusoooka luno baalumalako bulungi naye ng’omu agamba nti ye omukulu we ssomero amukuba nnyo. Nze okutegeera yali mukulu wabwe Rodney Mukiibi eyatoloka ku somero ne muyiizi munne nga nabekangira waka n’angamba nti banne gyebali naye balwadde olwokukubwa ennyo. Okusinzira ku atwala ensonga za baana ku poliisi e Kawempe Florence Agilong akakasizza okukwatibwa kw’omukyala ono nategeezza nga bwagenda ok"	d5b0efc543189d8b8d8844d78520a52c
			"Kampala Baddereeva ba ttuleera nga beekalakaasa ku Lwokubiri e Mbarara. Bya FRED TURYAKIRA BADDEREEVA ba ttuleera abasoba mu 70 basabye wassibwewo etteeka limu mu mawanga ga East Afrika erirambika obuzito bwa akizolo bumu obykkirizibwa wonna. Kino kizzeewo oluvannyuma lwa baddereeva bano okwekalakaasa emirundi ebiri mu mwezi gumu nga bawakanya engassi ebasabibwa naddala ku minzaani y’e Mbarara olw’okutikka obuzito obususse. Ku Lwokubiri, baddereeva era baazibye oluguudo ng’abakungu ba UNRA bakut
..........
va abasinze okukosebwa be bavuga mmotoka z’ebyamaguzi eziva e Kenya okugenda e Rwanda, D.R Congo, Burundi ne mu bugwanjuba bwa Uganda. Hassan Mohamed, omu ku baddereevaabavuga amafuta okuva e Kenya okugatwala e Rwanda yabuuzizza lwaki minzaani y’e Busitema ekkiriza ttuleera okuyitawo ate ng’ey’e Mbarara to ezigaana? “Tusaba Pulezidenti ayimirize mu tteeka lino erya akizolo okumala akaseera, bamale okukola etteeka erigatta amawanga ga East Afrika gonna,” Mohamed bwe yagambye. Muhammad Kalayo, dde"	394efa5ee2bfd604801774a51e4aa531
			"ABALONZI ba Mawokoto South mu Disitulikiti ye Mpigi beerayiridde nga bwe batandise kaweefube w’okunoonya emikono egiggya obwesige mu mubaka waabwe John Bosco Lubyayi olw’okubalyamu olukwe n'awagira okukyusa ssemateeka w'eggwanga. Bano nga bakulembeddwaamu abakulembeze booludda oluvuganya Gavumenti okuli ssentebe wa D.P owa Mawokota South Simon Peter Kawuki n’akulira abakyala mu kibiina kya D.P Teddy Namboze basinzidde mu lukungaana lwa bannamawulire lwe batuuzizza ku Klezia ya St .Kizito Sub Par
..........
 ku bakulembera ng’ate yabamalira obudde nga bebuzaako n'abamuwa endowooza zaabwe nga bawakanya ekyokukyusa akawaayiro 102B aka ssemateeka we ggwanga akawagira okuggya ekkomo ku myaka gya Pulezidenti. Kawuki agambye nti Lubyayi asaana kutwalibwa Butabika akeberwe omutwe okukasa ddala oba gukola bulungi kubanga bye baamutuma sibyakola nga tebalaba nsonga lwaki bamutunuulira obutunuulizi. Teddy Nambooze asabye abalonzi okutandika okuboola ababaka abakikirira mu Disitulikiti eno ababaliddemu olukwe"	9903ffce077940d53633ad3cc508349d
			"1Mwana wange Timotheo, ekisha ekyo twigiliirwe aha rw'okushangwa tujwangaine na Yesu Kirisito kikugumise. 2Kandi ebyo wampuliire ningamba omu maisho g'abajulizi batali bake, obyegese bwegesa abantu abalikwesigwa abarashobora nabo kwegesa abandi. 3Oikilize kushasha nk'omwisherukare wa Yesu Kirisito omwesigwa. 4Taliho mwisherukare omu bwisherukarebwe ayetahya omu mirolere y'abatali baisherukare, enshonga wenene omugendelerogwe ni kushemeleza ayamuhandikire omu bwisherukare. 5Omunzani w'emizano y'o
..........
ahali Ruhanga, obe mukozi atalikwebabara kantu, n'ekigambo ky'amazima okyegese kabutekire. 16Oyelinde enkuru etainamu kakutiina Ruhanga, nobona enkuru egyo neija kwikara nehindura abantu okutetaho Ruhanga. 17Enkuru egi neija kubatemura nk'ekishebe. Omuli bonene abo halimu Himenayo na Fileto. 18Aba nibo basigiliire amazima bakagamba ngu okuhimbuka kurabaireho. Nibaita okwikiliza kw'abandi. 19Nawe omusingi gwa Ruhanga ogugumire nigwo gwonene gwonene, gwina n'omuhuri ogu: «Omukama namanya abaliba w"	e12b5c48132636d086bddb140576d9e7
			"Nga 24 June 2018, Omuzaana wa Kabaka Babirye Nabweteme, omutuuze we’nsi ya Canada, yawereeza BugandaWatch obujulizi nti omusajja omuyindi, Aga Khan, Prince Karim al-Husseini, Mengo gweyali efuba okutunza olubiri lwa Kabaka, mwonoonyi wa butonde n’obuwangwa wa lulango. Gattako ekifananyi nti ebintu bye ebisinga abikolera mu kugaba nguzi. Obujulizi bwebuluwa? - Mu 2016, Aga Khan yafuna obwa nnanyini ku lubiri oluyitibwa Casa Ventura Terra mu nsi ya Portugal oluvannyuma mu ngeri eyaletaawo enjawuka
..........
e n’abomunju ye bagenda nebawumulirako ku kizinga kya Aga Khan ekya Bell Island. Batambulira mu nnyonyi ya Aga Khan era nebasula mu nju ze. Kyanyiiza nnyo Abacanada nebavunaana Trudeau ne Aga Khan okwagala okuyingiza obukenuzi mu Canada. Oluvannyuma Trudeau yalina okusasula omutango, mu ngeri y’okwetonda. Lwaki bino bikulu? - Mu 2012/13, abaami Yoweri Museveni, John Katende, Charles Peter Mayiga n’abalala (amannya masirise) bekobaana okulimba Kabaka Mutebi nti Abaganda bwebamuyita “Nannyini bint"	aba61c3460ee98d48b204b58339fc16f
			"Okubala Numbers Chapter 26 1 Awo olwatuuka kawumpuli ng'awedde, Mukama n'agamba Musa ne Eriyazaali mutabani wa Alooni kabona nti 2 Bala omuwendo gw'ekibiina kyonna eky'abaana ba Isiraeri, abaakamaze emyaka abiri n'okukirawo, ng'ennyumba za bakitaabwe bwe ziri, bonna abayinza okutabaala mu Isiraeri. 3 Musa ne Eriyazaali kabona ne babagambira mu nsenyi za Mowaabu ku Yoludaani e Yeriko nti 4 Mubale omuwendo gw'abantu, abaakamaze emyaka abiri n'okukirawo; nga Mukama bwe yalagira Musa n'abaana ba Isi
..........
 bbiri mu lusanvu. 35 Bano be batabani ba Efulayimu ng'enda zaabwe bwe zaali: okuva ku Susera, enda eya Basusera: okuva ku Bekeri, enda eya Babekeri: okuva ku Takani, enda eya Batakani. 36 Ne bano be batabani ba Susera: okuva ku Erani, enda eya Baerani. 37 Ezo ze nda za batabani ba Efulayimu ng'abo abaabalibwa ku bo bwe baali, obukumi busatu mu enkumi bbiri mu bitaano. Abo be batabani ba Yusufu ng'enda zaabwe bwe zaali. 38 Batabani ba Benyamini ng'enda zaabwe bwe zaali: okuva ku Bera, enda eya B"	2312af95a61811ba488087cbdb3c3854
			Obuzaano bweitu Hangura SHIRINGI 10, 000 eza airtime. Tugambire obwo orikuteeba omweshongozi hamwe n'ekyeshongoro eki orikuteekateeka ngu nikiija kukwata omwanya gw'okubanza aha American Top 40. Eki oine kukora, za ahasimu yaawe, handiika ekigambo AT40, osigyeho akaanya, ohandiikye eiziina ry'ekyeshongoro n'omweshongozi ekiraakwate omwanya gw'okubanza hamwe n'ahi ohurikiririize reeru oyohereze obutumwa bwabwe ahari 8338. Hurikiriza kumanya ku oraabe wahangura. Airtime egi nooza kuba nogitunga buri rw'okubanza. Otafeerwa ebyeshongoro ebi buri rwamukaaga shaaha 3 z’akasheeshe kuhisya shaaha 7 z’ihangwe aha Radio West.	d83535c97f262a4010237b832b2f25ef
			"1Ndeeba, mbona Kataama ayemeleire aha Ibanga lya Sioni. Akaba aina abantu 144,000 ababaire baina eibaralye n'elya Ishe gahandikire aha buso bwabo. 2Mpulira eiraka lyemire omw'iguru nk'akahiliro k'amaizi gangi n'okusharuka kw'enkuba y'amani. Eiraka lyonahuliire likaba nilishusha amaraka g'abatezi b'enanga nibatera enanga zabo, 3nibahoya oruhoya ruhya omu mabona g'enketo n'omu maisho g'ebitondwa binai eby'oburora n'omu mabona g'abagurusi. Taliho n'omoi ayakushoboire kushobokerwa ruhoya orwo shana 
..........
uliro n'obuganga omu maisho g'abamalaika n'omu mabona ga Kataama. 11Omwika gw'omuliro ogurabokya gwikara niguchunkera eirai lyona. Kiro na mushana tibalibona milembe aba abafukamira ekikaaka n'ekishushani kyakyo, na kaishe muntu wena aragiibwaho akabonero kakyo.» 12Aha niho obwegumisiliza bw'abegesibwa abekomya emihango ya Ruhanga mara bakaguma baikiliize Yesu bulimanyikira. 13Mpulira eiraka lyemire omw'iguru niligamba liti, «Handika ekigambo eki: Baberwa abarafaga bali ba Mukama kwema mbwenu.» "	781f4552651b5493af67da3e54133cd7
