"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"Ageini 18 Rubanga Ocikere pi Mino Aburaam Atin Awobi 1Rwot oko nyutere but Aburaam i nget ejinga me Mamure, di oudo en etie bedo i ekeko me eema mere i dier i ceng. 2- Aburaam oko tingo wange malo di eko neno cuo adek di tie cungo iyapiyapi kede. Kakame en eneno gi kede, en eko yai ringo ki dog ekeko me eema pi ot riamo kede gi, di eko riebere piny i nyim gi, 3di eko waco be, “Adwong na, ka in imito timo na bero moro, kur ikat akata ngatic ni. 4Wek kong kel ne wu pii moro anonok ilwokunu kede ti
..........
ayaro timo? 18Aso di en Aburaam ebino doko kwaru me ateker adwong di tek, doko kobino mino atekerin dedede me wi lobo winyo pi en. 19Li, pien ango atieko yere pi coro idwe mege karacel kede ikwae mege me kare me anyim, pi gin bedo jo kame lubo yongayo ka Rwot di kitimo gi kopoore kede me ateni; tetekeny Rwot cob timo gikame en ecikere iye but Aburaam.” 20Di do Rwot oko waco ne Aburaam be, “Koko kame tie i kom Sodoma kede Gomora tin dwong benyo, doko dub gi tin rac raco kokato kare tin benyo! 21M"	926ce7f3b398de8be05e2f81f22ee3ce
			"1Paolo, ma jakwenda pa Yesu Kristu ku yeny ma Mungu yenyo, calku lembang’ola mi kwo ma ni i Yesu Kristu 2ni Timoteo, ma nyathin para ma jamer: bero, ku kisa, ku kwiocwiny, m’uai ba Mungu ma Wego ku Kristu Yesu ma Rwoth mwa ubed iri. 3Afoyo Mungu, m’atimo ire ku pidocwinya ma leng’ ugambre kum kwara, ma ia kuweko poyo piri ngo i kwac para m’akwayu, diewor ku dieceng’ de 4ma ava nenoi benega, ma ia bepido kum piweng’i, kara anyong’a nega; 5m’apoi ko pi yioyic ma abombi mbe i ie ma ni ii; m’ular ub
..........
yenyo en ku bero, m’umire iwa ni kum Kristu Yesu ku kwong’a, 10ento kawono dong’ edaru nyuthre ni kum kawok ma Jalar mwa ma Yesu Kristu wok ko, m’ekabu tho, m’ekelo kwo, man kwo ma rondo ku rondo i der ni kum lembanyong’a ma juboth ko, 11kum lembe nini juketha ni jayer lembe, man jakwenda, man japonji bende. 12Kum lembe nini abemula ku can kum giki maeni bende: endre lewic ubenega ngo; kum ang’eyo ng’atu m’ayio, man ang’eyo andhandha nia ecopo gwoko lembe m’aketho i kore cil i ceng’ maeca. 13Cer"	e6fe184ce25a0b3729fa8a0f4577fc92
			"Be Inyalo Paro? Be isesomo adimba gocho mosekalo mag Ohinga mar Jarito? Ka en kamano, ne ane kabe inyalo dwoko penjo maluwogi: Tim miluongo ni bibliomancy en tim mane, to Jokristo onego one nade timno? Bibliomancy en tim ma ng’ato elo kamoro amora ei Muma apoya kae to osomo ndiko ma wang’e okwongo romogo, kogeno ni ndikono ema biro konye nyagruok gi chandruok moro. Jokristo madier ok ti gi gimoro amora e yor bilo. Kar mano, gipuonjore Muma adimba mondo gibed gi ng’eyo madier kaka Nyasaye dwaro m
..........
ano, thoth jogo mibiro chiero, biro dak e pinyka nyaka chieng’.—3/1, ite mar 6. Wacho ni ‘chuny Jo-Israel ne pok oter nyangu’ tiende en ang’o? (Yer. 9:26) Ok ne gin gi chuny marwako wach, kendo ne dwarore gigol gik ma ne miyo chunygi ok rwak wach tiende ni pachgi kata gombogi ma ne ok owinjore gi dwaro mar Nyasaye. (Yer. 5:23, 24)—3/15, ite mag 9-10. Ere kaka Yesu noketonwa ranyisi maber mar bedo gi ngima ma nigi mor? Gima duong’ ma Yesu ne dwaro timo e ngimane, ne en timo dwach Nyasaye. Nohero "	5474e7a8a2b1e6028f9b4170886c5bbe
			"APENDIKS “Chuny” kod “Roho”—Wechegi Tiendgi Ang’o Kuom Adier? ANG’O mabiro e pachi seche ma iwinjo ka ji wuoyo e wi “chuny” kod “roho”? Ji mang’eny puonjo ni weche ariyogi wuoyo e wi gimoro manie dendwa ma ok nyal ne, kendo ma ok nyal tho kata kethore. Giparo ni ka ng’ato otho, gino wuok e dend dhano, kendo gino dhi nyime gi ngima. To nikech mani en puonj mayudore kuonde mang’eny, ji mang’eny bedo gi wuoro bang’ yudo ni Muma ok puonj wachni kata matin. To kare chuny en ang’o, kendo roho en ang’o
..........
8:4, 20. “ROHO” EN ANG’O? We mondo wane ane yo ma Muma tiyo godo gi wach miluongo ni “roho.” Jomoko paro ni “roho” en nying machielo miluongogo “chuny.” Kata kamano, wachno ok en adier. Muma wacho maler ni “roho” kod “chuny” gin gik moko ariyo mopogore. Gipogore e yo mane? Jondiko mag Muma ne otiyo gi ru′ach e dho-Hibrania, kod pneu′ma e dho-Grik kane gindiko e wi “roho.” Ndiko wuon nyiso tiend wechegi. Kuom ranyisi, Zaburi 104:29 wacho ni: “Igolo [Jehova] muchgi [ru′ach], mi githo, kendo gidok "	81580f4cd50c263d97b9ff1436f2a62e
			"1Nyithindho para ma thindho, agoro iwu lembe maeni kara kud wudubi. Man tek ng’atu moko dubo, wabedo ku Jakwai ba Wego, Yesu Kristu ma won bedopwe: 2man en e lam mi dubo mwa: mi mwa kende ngo, ento mi ng’om ngung’ bende. 3Man kum maeni wang’eyo nia wang’eye, tek waworo cik pare. 4Ng’atu m’uwacu kumae, Ang’eye, enke eworo cik pare ngo, en e jandra, man lemandha mbe i ie: 5ento ng’atu m’uworo lem pare, mer pa Mungu doko ndhu cu i ie andha. Ku maeni wang’eyo nia wani i ie: 6ng’atu m’uwacu nia ebedo
..........
 kud awanya ma rac mi wang’ kud ayunga mi kwo maeni, en e pa Wego ngo, ento en e mi ng’om. 17Man ng’om ubekadhu woko kud awanya ma racne de: ento ng’atu m’utimo yeny ma Mungu yenyo bedo rondo ku rondo. 18Nyithindho ma thindho, maeni en e acoka saa: man calu wuwinjo nia japiem Kristu bebino, e kawono jupiem Kristu dupa daru wok; kum maeni wang’eyo nia en e acoka saa. 19Giai i kindwa, ento gi mwa ngo; kum tek gi mwa, kuno di gidong’ i bang’wa: ento giai, kara ginyuthri nia gi mwa ceke ngo. 20Man w"	ab3b14ec0520d183784550b06304ae0c
			"1Lacen i ŋe mwaka apar wiye aŋwen dok acito i Jerucalem aye kacel ki Barnaba, dok bene atero Tito me wot kacel kweda. 2Gin mumiyo acito kunnu, pien Lubaŋa onoŋo onyutta ni myero aciti. Ka ao kunnu, ci aketo lok me kwena maber ma abedo ka titone bot Lurok-ki i nyimgi, i muŋ bot jo ma ŋene, wek ticca ma atiyo, nyo ma doŋ atyeko tiyone con, pe obed me nono. 3Ento Tito ma onywako wot kweda, kadi bed onoŋo en Lagrik, pe gibedo ka diye ni myero gilire. 4Kadi bed onoŋo tye jo mogo ma gikelogi i kinwa m
..........
o Kepa nywako cam kacel ki Lurok; ento ka gubino ci Kepa ojer onyiko woko cen, opokke woko ki botgi pi lworo dul pa jo ma mito ni jo muye Kricito myero koŋ gilirgi. 13Lujudaya mukene gucako lubo kit pa Kepa me goba, kadi ki Barnaba bene ocako ŋak woko kun lubo kitgi ma pe nyuto cwiny me ada. 14Ento i kare ma aneno ni guweko ada me lok me kwena maber woko ma onoŋo tamgi tye ka wot atata, ci awaco bot Petero i nyimgi ducu ni, “Ka in ma Lujudaya-ni ilubo kit pa Lurok, ma pe ibedo calo Lajudaya, ci "	3d66ef8affa6c6cda3313b7c62cee847
			"LAMED NGEC Nying Lubanga—Tyen Lokke ki Ticce I BAIBULLI, kigonyo Jabuli 83:18 nining? New World Translation of the Holy Scriptures gonyo tyeng man ni: “Wek dano gunge ni, in ma nyingi Jehovah, in keni aye Ngat ma Malo loyo i wi lobo ducu.” Baibul mukene mapol bene gonyo tyeng man i yo acel-li. Ento, i pol pa Baibul, nying me Jehovah-ni kikwanyo woko, ka kileyo kakare ki nying dog tic calo “Rwot” nyo “Lacwec.” Nying ango ma omyero obed i tyeng man? Nying dog tic nyo nying me Jehovah-ni? Nying Lub
..........
 me Baibul ma waco ni: “Pe ilwong nying Rwot Lubangani me nono; pien Rwot bimiyo kop loyo dano ma lwongo nyinge me nono.”—Nia 20:7. Cik man gengo tic ki nying Lubanga i yo marac. Ento mono gengo tic kwede i yo me woro? Pe wa acel. Jo ma gucoyo Baibul i leb Ibru (“Cik Macon”) onongo ducu gubedo jo ma lugen ma onongo gilubo Cik ma Lubanga omiyo bot jo Icrael macon. Man omiyo gutiyo ki nying Lubanga tere tere. Me labolle, guketo i wer mapol ma onongo luworo mapol giwero ki dwan malongo. Lubanga Jeh"	2902ff4ec82e39f88f86b30a87b8863c
			"MILOME NE PINY MANGIMA Din mar miriambo en din matimo ang’o? Be timbe maricho matimore e nying’ din miyo chunyi chandore? Be lweny, mahundu koda timbe mibadhi mitimo gi joma wacho ni lamo Nyasaye nyisi ni gik moko ok timore e yo makare? Ang’o momiyo chal ka gima din ema nyuolo chandruoge mang’eny? Ok ni dinde duto ema kelo chandruok, to mana din mar miriambo. Yesu Kristo ma ne en japuonj mong’ere ahinya ne onyiso ni din mar miriambo ema miyo ji timo gik maricho, mana kaka “yien maricho nyago man
..........
ni, kendo en gi mwandu mang’eny miwuoro. E wi mano, owuondo “ogendini duto gi jwogi.” (Fweny 17:18; 18:12, 13, 23) Muma konyowa neno ni dhako ma jachodeni en riwruok mar din e piny mangima. Ok ochung’ne din moro achiel kende, to oriwo dinde duto manyago olemo maricho. Ondiek ma dhakono oidho ochung’ne sirkande manie piny.* (Fweny 17:10-13) Din mar miriambo oidho e ng’e ondiegni tiende ni sirkandego, ka otemo chiko ondiegno. Kata kamano, gima duong’ miwuoro ahinya biro timore machiegni. “Tunge ap"	697ad50eea0a7eb377739a25d6360c65
			"1 Jo Tecalonika 2 Tic pa Paulo i Tecalonika 1Utmegiwa, wun kikomwu wuŋeyo ni, binowa botwu yam pe obedo me nono. 2-Kadi bed waneno can, dok bene gitimo tim me lewic i komwa i Pilipi macalo wun wuŋeyo, kadi pyem obedo dwoŋ, Lubaŋawa omiyo botwa tekcwiny me tito botwu lok me kwena maber ka maleŋ. 3Pien lok ma wakelo pe oa ki i tam mugom nyo tam ma pe leŋ, goba bene pe iye. 4Ento kit macalo Lubaŋa doŋ opwoyowa, ci cut omiyowa lok me kwena maber me atita, wan bene doŋ watito kit meno, pe pi yomo cwi
..........
uye Yecu. 11Dok wuŋeyo kit ma wabako kwede dogwa botwu, kun waparo pi dano acel acel ma i kinwu, dok wacuko cwinywu macalo won litino cuko cwiny litinone. Dok wacikowu bene ni, 12wulub kit kwo ma myero bot Lubaŋa ma olwoŋowu i kerre ki i deyone. 13Man aye gin mumiyo wapwoyo Lubaŋa kare ki kare, pien cakke ma wugamo lok pa Lubaŋa ma wuwinyo ki botwa, pe wugamo macalo lok pa dano, ento macalo lok pa Lubaŋa. Ada aye lok pa Lubaŋa tye bene ka tic i iwu wun jo muye Yecu. 14-Utmegiwa, wun bene wumako "	8c0dfa807998ba66b3c92f83b0c2cdac
			"1Wunen maram mer ma Wego maru kowa bedo ko m’emio iwa, ketho julwong’owa nyithindho pa Mungu; wabedo kumeno de. Kum lembe nini ng’om ung’eyowa ngo, kum eng’eye ngo. 2Jumer, kawono wa nyithindho pa Mungu, endre fodi enyuthre ngo nia wabibedo ni ang’o. Wang’eyo nia, tek ebinyuthie, wabibedo calkude; kum wabinene cli calu ebedo. 3Man ku ba dhanu ceke m’ubedo ku genogen maeni i bang’e edwokre leng’ gire, cil calu en e leng’. 4Ku ba dhanu ceke ma timo dubo etimo co bende; dubo de en e camuco. 5Man wa
..........
g’ wamara: 12calu Kain ungo ma en e pa ng’atu ma rac, man enego umin. Man enege mir ang’o? Kum tic pare bedo rac, p’umin e m’ubedo pwe. 13Iwu kud uwang’ lii, umego, tek ng’om udaguwu. 14Wang’eyo nia waai i tho wamondo i kwo, kum wamaru umego. Ng’atu m’umaru ngo bedo i tho. 15Ng’atu ma tek udagu umin nwang’u en e janek: man wang’eyo nia janek umbe ma bedo ku kwo ma rondo ku rondo i ie. 16Kum kumeni wang’eyo mer, kum emio kwo pare piwa: e maku wan bende wami kwo mwa pir umego. 17Ento ng’atu m’ubed"	449bdc1740d57203ab548e726f387857
