"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"Nkhani 43: Yoswa Wasankhika Kuja Mulongozgi MOSESE wakhumbanga kuluta nawu Ayisraele m’charu cha Kanani. Sonu iyu wangupempha Yehova kuti: ‘Ndizomerezgeni Yehova kuti ndiyambuki Msinji wa Yordane nkhawoni charu chamampha.’ Kweni Yehova wangumuka kuti: ‘Ja cheti, ungazindikambiyanga so cha venivo!’ Kumbi utichiziŵa chifukwa cho Yehova wangukambiya viyo? Yehova wangukamba viyo chifukwa cha vo vinguchitika panyengu yo Mosese wangupuma jarawi. Kumbi ukumbuka kuti Mosese ndi Aroni angumutumbika cha Y
..........
o. Iyu wangufwa we ndi vyaka 120. Iyu wenga weche ndi nthazi ndipu masu ngaki ngenga ngeche kuwona umampha. Sonu ŵanthu ŵenga ndi chitima chikulu ukongwa chifukwa cha nyifwa yaku Mosese. Kweni angukondwa kuti Yoswa ndiyu wajengi mulongozgi wawu. Maŵerengedu 27:12-23; Marangu 3:23-29; 31:1-8, 14-23. Mafumbu - Kumbi ŵanthu ŵaŵi wo ŵama ndi Mosese pachithuthuzi mbayani? - Kumbi Yehova wangumukambiyanji Yoswa? - Kumbi nchifukwa wuli Mosese wangukwera pachanya pa Phiri la Nebo, nanga Yehova wangumuka"	f9f3c6e0d03e7de5edd3c7051e93aeb8
			"Kasi Ufumu wa Chiuta Ni Vichi? Ivyo Baibolo likuyowoya Ufumu wa Chiuta ni boma lakuchanya ndipo mweneko ni Yehova. Baibolo likuti ‘ ufumu wa Chiuta’ ni ‘ ufumu wa kuchanya’ chifukwa ndiko uli. (Mariko 1:14, 15; Mateyu 4:17) Ukuyanako vinyake na maboma gha ŵanthu, kweni Ufumu wa Chiuta ngwapachanya chomene. Mafumu. Chiuta wali kusankha Yesu Khristu kuti waŵe Themba la Ufumu wake ndipo ngwankhongono kuluska waliyose. (Mateyu 28:18) Yesu wakuchita viwemi pera, ndipo wakulongozga makora. Iyo ngwalus
..........
 Ufumu wa Chiuta.—Milimo 10:34, 35. Malango. Malango gha Ufumu wa Chiuta ghakukanizga kuti ŵanthu ŵachitenge viheni. Kweniso ghakovwira ŵanthu kuŵa na nkharo yiwemi. Baibolo likuti: ‘ “Utemwenge Yehova Chiuta wako na mtima wako wose na umoyo wako wose na maghanoghano ghako ghose.” Ili ndilo ni languro likuru chomene na lakwamba. Lachiŵiri, lakuyanako nalo, ni ili, “Utemwenge mzengezgani wako umo ukujitemwera wamwene.”’ (Mateyu 22:37-39) Awo ŵazamuŵa mu Ufumu uwu ŵakutemwa Chiuta na mzengezgani, "	506689482a3e183b323d88ee201adcaf
			"Kumbi Ubwezi Winu ndi Yehova we Wuli? “Ndereni kufupi kwaku Chiuta, ndipu wanderengi kufupi kwinu.”—YAK. 4:8. 1. Nchifukwa wuli tikhumbika kuja pa ubwezi wakukho ndi Yehova? KUMBI mukujipatuliya ndipuso mukubatizika ndi kuja Kaboni waku Yehova? Asani ndi viyo, ndikuti mwe pa ubwezi ndi Chiuta ndipu uwu ndi mwaŵi ukulu ukongwa. Kweni ubwezi winu ungatimbanyizgika chifukwa te m’charu chaku Satana kweniso te ambula kufikapu. Ivi ndivu Akhristu wosi akumana navu. Ndichu chifukwa chaki, tikhumbika ku
..........
-5, 16-21, tisambirapu kuti chinanga kuti Uziya wanguchita vinthu vamampha pa masu ngaku Yehova kweni pavuli paki, “wanguŵa wakujikuzga mpaka ku phalanyiku laki.” Iyu wenga ndi mbunu ndipu wangwamba kuchita nchitu zo asembi achitanga. Asembi 81 angumususka ndipu anguyesesa kumukanizga. Kumbi Uziya wanguchita wuli? Iyu wangulongo kuti wenga wakujikuzga ukongwa ndipu ‘wanguŵakaripiya.’ Ndichu chifukwa chaki, Yehova wangumulanga ndi makhati! 10. Nchifukwa wuli tikhumbika cha kuti nyengu zosi tiziŵe"	5e3d4191b3b52d2a1530724bd2d62ab9
			"WUKANI! August 2015 | DNA Ni Layibulare ya Umoyo! Ivyo ŵasayansi ŵabowozga pa nkhani ya DNA vyawovwira chomene kuti ŵanthu ŵapulikiske umo umoyo uliri. NKHANI YA PA CHIKOPI DNA Ni Layibulare ya Umoyo! Chifukwa wuli ŵasayansi ŵakuchindikika ŵakuleka chisambizgo chakuti vinthu vikachita kusintha? VYAKOVWIRA MABANJA Sambizgani Ŵana Kujikora Para mukumupa waka mwana winu chilichose icho wakhumba ndikuti mukumunanga. Kusambizga Ŵanthu Kuŵazga na Kulemba Josefina wakalembeska mu sukulu ya Ŵakaboni ŵa 
..........
 kukwenera kuŵa na mphaka? Wakademelera ku Ivyo Wakugomezga Song Hee Kang wakasangana na suzgo likuru chomene apo wakaŵa na vyaka 14. KASI VIKAŴAKO VYEKHA? Magiya gha Kamphazi Magiya agha ngakukhumbikwa chomene kuti kamphazi aka kazunthe mwankhongono. Zinyake izo Zalongoreka mu Magazini Ŵachinyamata Ŵakuyowoya vya Kupwelelera Umoyo Kasi uli na suzgo pa nkhani ya chakurya panji kuchita maseŵero ghakukhozga thupi? Mu kavidiyo aka, ŵachinyamata ŵakuyowoya ivyo vikuŵawovwira kuŵa na umoyo uwemi. Pul"	8499fc4c5ef9060c8945255dc4e0bf8b
			Kasi Ŵakaboni ŵa Yehova Ŵali Kufuma mu Tchalitchi Linyake la ku America? Ofesi yikuru ya Ŵakaboni ŵa Yehova yili ku United States of America. Ndipouli, tili kufuma mu tchalitchi linyake yayi pa vifukwa ivi: Ŵakaboni ŵa Yehova ŵakusopa umo Ŵakhristu ŵakwambilira ŵakasoperanga. Ŵakaboni ŵa Yehova ŵakupharazga mu vyaru vyakujumpha 230. Ŵakugomezgeka ku boma la U.S. na maboma ghanyake. Kweni chakwamba, ŵakugomezgeka kwa Yehova Chiuta na Yesu Khristu.—Yohane 15:19; 17:15, 16. Vyose ivyo tikusambizga ni vya mu Baibolo, ni vya mulongozgi wa chisopa wa ku United States yayi.—1 Ŵatesalonika 2:13. Tikulondezga Yesu Khristu, munthu waliyose yayi.—Mateyu 23:8-10.	401b0cb94b47b5fda12b12f49c87b74c
			"25 Apo Ŵaisrayeli ŵakakhalanga mu Shitimu,+ ŵanthu ŵakamba kuchita uzaghali na ŵanakazi ŵa ku Mowabu.+2 Ŵanakazi aŵa ŵakachemera ŵanthu ku sembe za ŵachiuta+ ŵawo, ndipo ŵanthu ŵakamba kurya na kusindamira ŵachiuta ŵa Ŵamowabu.+3 Ntheura Israyeli nayo wakamba kusopa* Baala wa Peyori.+ Ndipo ukali wa Yehova ukagolera pa Israyeli.4 Yehova wakati kwa Mozesi: “Tora ŵalongozgi wose ŵa ŵanthu aŵa, uŵapayike zuŵa lili ngee* pamaso pa Yehova, kuti ukali wakugolera wa Yehova ufumeko kwa Israyeli.”5 Mozes
..........
da yira ŵakaŵa 24,000.+10 Penepapo Yehova wakati kwa Mozesi:11 “Finehasi+ mwana wa Eliyazara, mwana wa Aroni wasembe, wawezga kutukutwa kwane pa Ŵaisrayeli, chifukwa wandalekelere munthu waliyose kulimbana na ine pakati pawo.+ Lekani nindaŵamalirethu Ŵaisrayeli kuyana na khumbo lane lakuti ŵanisopenge ine pera.+12 Ntheura umuphalire kuti, ‘Nkhumupa phangano lane la mtende.13 Liŵenge nga ni phangano lamuyirayira lausembe kwa iyo na mphapu yake yakunthazi,+ chifukwa wandalekelere munthu waliyose k"	82d080984f78bed4a511473ce0e27b1f
			"Marangu Copyright © 2014 Watch Tower Bible and Tract Society of Pennsylvania, Inc. Mazaza ngosi pa Webusayiti iyi ngidu. Wupu wa Watchtower Bible and Tract Society of New York, Inc. (“Watchtower”) ndiwu we ndi mazaza ngakupharazga kweniso kunozga Webusayiti iyi. Nkhani kweniso vinthu vosi vo ve pa Webusayiti iyi, va Watch Tower Bible and Tract Society of Pennsylvania, Inc. kupatuwaku asani talongo kuti vatuliya kunyaki. Tividindu Tividindu ta Adobe kweniso Acrobat, ntha wupu wa Adobe Systems Inc
..........
i yambula kwenere); Kugwiriskiya nchitu mwambula kwenere webusayiti iyi pamwenga vinthu vo vilipu, nge kuyisaniriyanga vifukwa kweniso kuyijula pamwenga kuchitangapu vinthu vambula kukoliyana ndi vo yikupangikiya. Kuyigwiriskiya nchitu mwambula kukoliyana ndi marangu pamwenga kuyitimbanyizga kuti ŵanthu anyaki atondeki kuyigwiriskiya nchitu; Kuyigwiriskiya nchitu pa nkhani za malonda. Mungambika Mlandu Asani Mwaleka Kulondo Marangu Asani mwaswa marangu ngakukwaskana ndi webusayiti iyi, wupu wa W"	6f14b9b75a1228b57ba17f3628659b6c
			"Vinyama Vinyama (Animalia) [edit] Vinyama vya m’Malaŵi Mu chalo cha Malaŵi muli vinyama vya mitundu-mitundu. Pali vinyama vya m’thengele ivyo vikulya chomene utheka ivo pa Chingelezi bakuvichema herbivores, ivyo vikulya vinyama vinyakhe ivyo pa Chingelezi bakuvichema carnivores na ivyo vikulya vinyama vinyakhe na utheka wuwo ivyo bakuti ma omnivores. Vinyama ivi ni vinyama vyapasi na tuyuni wuwo. [edit] Vinyama vyakulya utheka Vinyama ivyo vikulya utheka m’Malaŵi ni vinyama ngeti ni ivi: njati (
..........
 mtundu uwu ni vinyama ngeti ni nkhalamu (lion), nyalubwe (leopard), chimbwe (hyena), [edit] Vinyama vyakulya utheka na vinyama vinyakhe Vinyama ivi ni vinyama ngeti ni ba munkhwele (monkeys and apes), kambwe (fox), mbeba (rats/mice), [edit] Viyuni Viyuni navyo m’Malaŵi ni vinandi. Viyuni ivyo vikusangika chomene ni viyuni ngeti ivi: phululu (owl), kabelu-belu (sparrow), njiba (dove), chaholi (crow/raven), chababi (eagle), nkhanga (guinea fowl), nkhwali (), [edit] Vinyama vinyakhe Vinyama vinyak"	502dcc5f18174c55cb1c0083a3e07fd7
			"24 Ukali wa Yehova ukagoleraso pa Israyeli+ apo yunji wakavundura Davide kwimikana nawo, wakati: “Luta, ukapende+ Israyeli na Yuda.”+2 Ntheura themba likati kwa Yowabu+ mulongozgi wa ŵankhondo uyo wakaŵa nayo: “Luta, ukapende ŵanthu, mu mafuko ghose gha Israyeli, kwamba ku Dani m’paka ku Beyere-sheba,+ kuti nimanye unandi wawo.”3 Kweni Yowabu wakati kwa themba: “Yehova Chiuta winu wandaniske ŵanthu m’paka kahandiredi, ndipo maso gha fumu yane themba ghachiwone. Kweni chifukwa wuli fumu yane yiku
..........
 la Yehova,+ pakuti lusungu lwake ndukuru.+ Kweni ningawiranga mu woko la munthu chara.”+15 Ntheura Yehova wakatuma nthenda yakofya+ pa Israyeli, kwamba mulenji m’paka pa nyengo yakwimikika, mwakuti ŵanthu 70,000 kwamba ku Dani m’paka ku Beyere-sheba+ ŵakafwa.+16 Mungelo wakati wanyoloskera woko lake pa Yerusalemu kuti wamuparanye, Yehova wakachita chitima* na soka lira,+ ndipo wakati kwa mungelo uyo wakatumika kuparanya ŵanthu: “Mbwenu. Gowozga woko lako.” Mungelo wa Yehova wakimilira pafupi na"	43186f147441e3df7f6b91496008242d
			"Para Uyo Mukumutemwa Walwara Vwitivwiti DOREEN mahara ghakamumalira apo mfumu wake Wesley wa vyaka 54 wakalwara chomene ndipo ŵakamusanga na chakutupa mu wongo. * Madokotala ghakati wafwenge para pajumpha myezi yichoko waka. Doreen wakati: “Nkhagomezga yayi ivyo nkhapulika. Mahara ghakanimalira. Nkhaŵa nga nkhulota, nkhasoŵa chakuchita.” Chachitima ntchakuti ivyo vikachitikira Doreen vikuchitikiraso ŵanthu ŵanandi. Waliyose wangalwara nthenda yikuru pa nyengo yiliyose. Kweni chakukondweska ntcha
..........
MOVWILIRA Mulimo ukuru wa awo ŵakumupwelelera, nkhumukhozga. Munthu uyo wafwenge wakwenera kukhorwa kuti mukumutemwa nadi ndiposo kuti wali yekha yayi. Kasi mungachita wuli ivi? Mungamuŵazgira tumabuku tunyake panji kumuyimbira tusumu twakukhozga. Ŵanandi awo ŵakulwara ŵakukhumba waka kuwona kuti ŵabali ŵawo mbakukolerana ndipo ŵakuyowoya vyakukhozga. Mukweneraso kumuphalira usange kwiza ŵalendo. Lipoti linyake likuti: “Para munthu wakhala pachoko kufwa, chinthu chaumaliro icho chikuleka kugwira"	511389f9ae72e454f9448e79dd8381dd
