"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"Tuguegarao An Syudad han Tuguegarao usa nga ikaduha nga klase nga syudad ha lalawigan han Cagayan, Pilipinas. Amo ini an kapital nga syudad han Cagayan ngan amo an sentro han rehiyon han Rehiyon II. Nahamutang ini dida ha daplin han Salog han Cagayan. Sumala han census han tuig 2000, mayda ini populasyon nga 120,645 ka tawo ha 22,311 nga mga panimalay. Lakip han mga yinaknan nga ginagamit dinhe amo an Ytawes, Ybanag ngan Ilokano. Mga baranggay[igliwat | igliwat an pinagtikangan] An Syudad han Tu
..........
m (49) nga mga baranggay. Mga telebisyon nga mga network:[igliwat | igliwat an pinagtikangan] - ABS-CBN: Channel 3 - GMA Network: Channel 7 - RJTV: Channel 9 - National Broadcasting Network: Channel 13 - ACQ-Kingdom Broadcasting Network: Channel 33 Mga sumpay ha gawas[igliwat | igliwat an pinagtikangan] - Opisyal nga websayt han Syudad han Tuguegarao - Syudad han Tuguegarao: An Nangunguna nga Ibanag nga Syudad - Tuguegarao, Pilipinas mga litrato - Bahin han Tuguegarao - Philippine Standard Geogr"	8e1c9a2443529c3e2b3cbe9328606dbf
			Lanao del Norte An Lanao del Norte usa nga probinsya han Pilipinas nga nahamutangan han Amihanan nga Mindanao nga rehiyon. An kapital hini amo an Tubod. An probinsya ginsasapitan han Lanao del Sur ha salatan, han Zamboanga del Sur ha katundan, Misamis Oriental ha dumagsaan o amihanan-sidlangan, Bukidnon ha sidlangan, ngan nahibulag tikang han Misamis Occidental pinaagi han Baybayon han Iligan. Sulod Katawhan ngan Kultura[igliwat | edit source] Ekonomiya[igliwat | edit source] Heyograpiya[igliwat | edit source] Politikal[igliwat | edit source] An Lanao del Norte ginbahin ngadto hin karuhaan kag duha (22) ka mga bungto ngan usa (1) nga syudad.	55c1ae7d736499114a4642bad0b82a5c
			"SUBARA AN IRA PAGTOO | ENOC “Napalipay Gud Niya an Dios” HILAWIG an kinabuhi ni Enoc. Bangin imposible para ha aton nga hunahunaon nga inabot hin mga 365 ka tuig an iya kinabuhi—katugbang ha sobra upat nga hilawig nga pangidaron han tawo yana! Pero hito nga panahon, diri pa hiya masisiring nga lagas. Hadto, sobra 5,000 ka tuig na an naglabay, mas hilawig an kinabuhi han tawo. Hi Adan, an siyahan nga tawo, sobra 600 anyos na han igin-anak hi Enoc, ngan nabuhi pa hiya hin 300 ka tuig! An pipira ha
..........
 nga tagna an iginyakan liwat ha pariho nga paagi. Karuyag sidngon: An ginyayakan han propeta sigurado nga mahitatabo, salit mahimo ito ihulagway sugad nga nahitabo na!—Isaias 46:10. Ano daw la an inabat ni Enoc samtang iginpapasamwak niya an mensahe, bangin pinaagi ha pagsangyaw hito ha ngatanan? Tagda kon mationan-o kamapwersa an pahamangno—gin-gamit hito an pulong nga “diri-diosnon” ngan an iba pa nga puropariho nga mga pulong basi kondenaron an mga tawo, an ira mga panggawi, ngan an paagi ha"	47ce0fba797092733209d6375525eb2d
			"Matematika - Mayda impormasyon hini nga artikulo nga aada han Iningles nga bersyon nga angay ighubad ha Winaray An Matematika amo an larangan hin kinaadman nga nanginginlabot hiton mga konsepto sugad han kadamô, kahimo, kahaluag, ngan pagbalhin, ngan amo gihapon an disiplina akademika nga nag-aaram hini. Gintawag ni Benjamin Peirce ini nga amo ""an siyensya nga nakuha hin mga necesaryo nga mga konklusyon"". Iba nga mga ispisyalista ha matematika nasiring nga iton matematika amo an siyensya hin pat
..........
n, ha mga ihap o numero, siysensya, kahaluag o espasyo, kompyuter, imaginary nga mga abstraction, o bisan diin. It mga matematiko nagdadalikyat hini nga mga konsept, agod makahimo hin mga bag-o nga mga conjecture ngan pagtukod han mga kamatuoran hini pinaagi ha rigorous deduction tikang hin mga chosen axiom ngan mga kahubad. [igliwat] Mga sumpay ha gawas - Mathematical Society of the Philippines (Iningles) - Mathematics Trainers' Guild of the Philippines (Iningles) - Website about Sudoku in the "	750acd6826251c142f50e7bedb72668a
			"Guimarães An Guimarães (Pinortuges nga pagluwas: [ɡimɐˈɾɐ̃jʃ]) usá nga syudad ngan munisipyo nga nahamutang ha amihanan nga Portugal, ha distrito han Braga. An tikang han kaagi nga sentro han bungto hini ginlista nga usá nga UNESCO World Heritage Site tikang han 2001, ha pagkilala nga iní usá nga ""kilalado nga maupay hin ka-konserba ngan tinuod nga pananglitan hin pagdukwag hin medieval nga panimungto ngadto hin moderno nga bungto"" ha Europa. An Guimarães bahin giahpon han Ave Subrehiyon (usá ha
..........
on han Reconquista, an Coimbra amo an nagin pamunuan han ginhadi-an.[5] An mga molupyo han Guimarães agsob nga tinatawag nga mga ""Vimaranenses"" (mga Vimaranesnon) ngan ""Conquistadores"" (mga Nanlupig) tungod han nahahanungod nga na-ereder ha kaagi han panlupig nga gintikáng ha Guimarães. An Guimarães, upod han Maribor, Eslovenya, amo an Europeo nga Pamunuan hin Kultura han 2012. Heyograpiya[igliwat | Igliwat an wikitext] Mga parokya[igliwat | Igliwat an wikitext] Ha pagdumara, ginbahinbahin an mu"	1383cb7cd26225b24506e35d9b00d997
			"1Katapos namon makapanamilit ha ira, ginmikan kami. Ha amon pagsakay ginrumbo namon an Cos; han pagkabuwas inmabot kami ha Rodas, ngan tikang didto dinmuong kami ha Patara. 2Nakakita kami didto hin sakayan nga tipakadto ha Fenicia, sanglit sinmakay kami ngan nagpadayon. 3Han pag-abot namon ha dapit diin natatan-aw na an Cipre, nagpadayon kami tipatimogan hini ngadto ha Siria. Hinmaw-as kami ha Tiro diin nagdiskarga an sakayan han mga kargamento. 4Iginkakita kami didto hin mga magtinuohon ngan na
..........
nglit ano man an angay pagbuhaton? 23Buhata an amon isisiring ha imo. May-ada dinhe upat ka tawo nga may-ada mga panaad. 24Updi hira ngan tampo han ira seremonyas han paglinis sumala han ginkikinahanglan han Balaod, ngan baydi an ira magasto; ngan makakagpakiskis na hira han ira mga ulo. Dida hini mahibabaroan han ngatanan nga an ira hinbatian mahitungod ha imo waray kamatuoran, kundi nga nagtutuman ka han Balaod ni Moises. 25Kundi mahitungod han mga Hentil nga nagin mga magtinuohon, ginpadad-an"	0a87fa8684ef87f630e2af7737c932d8
			"Dimunyu An Dimunyu usa ka salbahe na katawhan han sobrenatural sa mga isturya ha mitolohiya ngan relihiyon. An mga dimunyu an kaaway hin mga Ginoo ngan mga anghel ha mitolohiya. Hira an nagpapakalat hin kayawaan ha kalibutan ngan nagsusulay han mga tawo padulong ha tanan na karautan. Ginsusunod nira an mga sugo hin Panulay nga itagyab an katawhan ha kaupayan ngan kabuotan. Hira an nagdadara hin sakit ngan pagkasimok ha sankatawhan[1] An ""Dimunyu"" na tawag kay nagtikang ha kadaan na Griyego na da
..........
wat an pinagtikangan] An konsepto hin dimunyu una nahimo ha Hellenistiko na panahon hin mga Griyego ha mga epiko ni Homer. Iba an ira dimunyu ha dimunyu han yana. An mga dimunyu hin Griyego an gahum na nagbubulig ha tawo na maabot an ira kapalaran. Ginsiring ni Hesiod, usa ka tagasiday, na usa ka tawo an dimunyu na nahimong imortal pagkatapos han iya pagkamatay. Ginhatagan ini hin mas damo na detalye ni Plato. Una, hira an mga anak hin Ginoo na iya tagtungod ha mga tawo(Epinomis 984E). Ikaduha, "	ac744e9437d8b252c9163f908c74729b
			"Hua Guofeng - Mayda impormasyon hini nga artikulo nga aada han Iningles nga bersyon nga angay ighubad ha Winaray Hi Su Zhu (ginyano nga Tsinino: 苏铸; nahig-araan nga Tsinino: 蘇鑄; pinyin: Sū Zhù) (16 Pebrero 1921 – 20 Agosto 2008), nga mas kilalado ha nom de guerre nga Hua Guofeng (ginyano nga Tsinino: 华国锋; nahig-araan nga Tsinino: 華國鋒; pinyin: Huà Guófēng; Wade-Giles: Hua Kuo-feng), amo an ginpili ni Mao Zedong nga masunod ha iya nga labaw nga manguna han Partido Komunista han Tsina ngan han Kana
..........
i Mao ngan sinmunod hi Hua kan Mao nga Chairman o Mangulo han Partido Komunista han Tsina, nga diin nahiusa ngan nahiubos hi Jiang Qing ngan an mga iba nga kaapi han sinisiring nga Gang hin Upat. Gintapos ni Hua an Rebolusyon Kultural ngan nagpaiwas han Gang hin Upat tikang ha poder, kundi tungod han iya pag-insistir han pagpadayon han Maoista nga linya, hiya ngahaw nalupig hin maneobra katapos hin pira ka tuig ni Deng Xiaoping, nga nakapirit kan Hua nga magretiro hin sayó.. Gin-agnayan hi Hua G"	ae9e5d8113e489486b5ed39aceaa5858
			"Kapulungan hin mga Representante han Pilipinas An Kapulungan hin mga Representante han Pilipinas ha (Ingles: House of Representatives of the Philippines, Espanyol: Camara de Representantes de Filipinas) amo an hamubo nga kapulungan han Kongreso han Pilipinas. An Senado han Pilipinas amo an hataas nga kapulungan. An kapulungan nadanay impormal nga gintatawag Kongreso. An mga miyembro hini gintatawag nga Kongresman (mga kinatawan ug mga konggresista) ngan an ira titulo mao an Representante. Sulod 
..........
syonal nga destribusyon/lehislatibo[igliwat | igliwat an pinagtikangan] Pansyudad ngan Panimungto nga mga Distrito[igliwat | igliwat an pinagtikangan] Kitaa gihapon[igliwat | igliwat an pinagtikangan] - Ispiker han Kapulungan han mga Kinatawan han Pilipinas - Mga distrito hin pambalud han Pilipinas - Senado han Pilipinas - Mga kagawarang tagapagpaganap ng Pilipinas - Kataas-taasang Hukuman ng Pilipinas - Batasang Pambansa - Mga Batas Republika ng Pilipinas Kaurian:Pamahalaan ng Pilipinas Kaurian"	c41d411ba6f27426ca849e1d110c0290
			Franz Ferdinand han Austrya Hi Franz Ferdinand (18 Disyembre 1863 – 28 Hunyo 1914) amo an usa ka arkoduko han Austrya-Este, Austro-hungaryano ngan Prinsipe han Hungarya ngan Bohemya, ngan tikang 1889 kutob ha iya kamatay, hiya an tagapagmana kunta han trono han Austro-hungaryano. An pagpatay ha iya ha Sarajevo amo an nagduso han pagpasabot hin gyera han Austrya-Hungarya ha Serbya. Nagurugop an mga kaalyado han Austrya ngan Hungarya ngan an mga nasod nga kaalyado han Serbya nga gintikangan han gyera pankalibutan I.	ea5ac3aac4fdf9644ec0c667000f5c85
			Hollywood Walk of Fame An Lakawan nin Kabantogan sa Hollywood binibilog nin 2,500ng bitoon, lima an mga panas, na hinaman sa terrazzo asin tanso' asin ini idinukot sa kalabaan kan bangketa kan 15ng bloke kan Hollywood Boulevard asin 3 bloke kan Vine Street, namomogtak sa Hollywood, California. An mga bitoon mga permanenteng monumento publiko sa pag'omaw kan mga naginibohan kan mga yaon sa industriya nin alingan, dara an mga pangaran kan manlaen-laen na mga aktor, musiko, direktor, prodyuser, mga grupo musikal asin sa teatro, mga karakter na fictional, asin iba pang hinuhuna dapat pag'omawon dawa totoo medyo harayo na an koneksyon sa industriya. Ini administrado kan Hollywood Chamber of Commerce asin mantenido kan Hollywood Historic Trust. Popular na gayong destinasyon kan mga turista, ini naghakot nin mga bisita uminabot 10 milyon na kan 2003. Galeriya[liwaton | liwaton an gikanan] Mga panluwaws na takod[liwaton | liwaton an gikanan] - [1] Opisyal na website	879061e14c690e697ba445ace46ac6c8
			"Nueva Ecija - Mayda impormasyon hini nga artikulo nga aada han Iningles nga bersyon nga angay ighubad ha Winaray An Nueva Ecija (kon ha literal nga Winaray: Bag-o nga Écija; ha Kinatsila: Nueva Écija) usa nga ginpalibutan nga probinsya han Pilipinas nga nahimutang ha Butnga nga Luzon nga rehiyon. An kapital hini amo an syudad han Palayan. Ginsasapitan han Nueva Ecija, tikang ha salatan tipawala, an mga lalawigan han Bulacan, Pampanga, Tarlac, Pangasinan, Nueva Vizcaya, ngan Aurora. Sulod Katawha
..........
 han mga habagatan nga mga tubigon harani han pag-ultan han Pampanga. Napatag ini ngan nagtitikadako hin kahataas ngadto hin mga pungtod ha pagtikaharani hini han mga kabugkiran han Sierra Madre ha sinirangan, ngan han mga kabugkiran han Caraballo ngan Cordillera ha amihanan. Politikal[igliwat | edit source] An gobyerno amo hi Tomas N. Joson III, nga nahapuwesto katapos han pagdaog niya han 1992 nga pinili-ay. An lalawigan ginbahin ngadto hin upat nga mga distrito kongresyonal ngan an lalawigan "	9b62ca513a78d86bf11c5a1688138555
			"Sugbo An Sugbo (kon ha Kinatsila Cebu) usa nga isla-nga-probinsya o lalawigan han Pilipinas nga nahamutangan ha Butnga nga Kabisay-an nga rehiyon. An kapital hini amo an Syudad han Sugbo o Cebu City. Iton Sugbo halaba nga diri-haluag nga isla nga mga 225 ka kim iton kahalaba tikang ha amihanan ngadto ha salatan ngan ginpapalibotan in mga 167 nga gudtigudti nga mga hagrani nga isla, sugad han Isla han Mactan, Bantayan, Daanbantayan, an mga Isla han Camotes, nbp. Iton Sugbo usa han mga pinakamainu
..........
Sugbo ngan Negros). An Sugbo ginsisirbisyo-an han Mactan-Cebu International Airport, nga nahamutangan ha Syudad han Lapu-Lapu, mga treinta minutos nga drive tikang ha sentro han Syudad han Sugbo. Sulod Heyograpiya[igliwat | Igliwat an wikitext] Nahamutangan an Sugbo ha may butnga han 9°25'N ug 11°15'N nga latitude ngan ha may butnga han 123°13'E ug 124°5'E nga longitude dida ha butnga han kapurupud'an Pilipinhon. Politikal[igliwat | Igliwat an wikitext] An Sugbo mayda kap-atan kag upat (44) ka b"	8423836ffbabb320aa020c55db6ccb31
			"Ceuta An Ceuta usa nga syudad autonoma han Espanya, nga nahamutang ha mga labnasan han Dagat Mediterraneo. Nahamutang ini ha labnasan han Afrika ha may sinirangan nga ganghaan han estrecho han Gibraltar. Ginsasapitan ini ha amihanan, sidlangan, ngan ha salatan han Dagat Mediterraneo ngan ha katundan han Marruecos. An nasod han Marruecos nagbanhaw han pag-angkon hini komo kabahin han teritoryo hini ngan tungod han kaharani ha heyograpiya (upod han Melilla ngan iba nga mga Espanyol nga teritoryo n
..........
kahaluag nga diin nangungukoy mga Kristohanon, Muslim, Hudiyo, ngan mga Pakistani ngan Indio. An mga nangungukoy nahamutang dida han istmo ngan kabahin han Campo Exterior. An nukleo han sentro nahamutang harani han puerto ngan harani han Bukid Hacho. Tungod han estratehika nga kamutang han puerto han Ceuta, mayda ini importante nga papel dida hit agi-an han Estrecho, komo ha pagdugtong han Dagat Mediterraneo ngan han Kalawdan Atlantico. Etimolohiya ngan toponomiya[igliwat | edit source] An katin"	ba0bdb86c52ce1a2a7fa810fc97530de
			"Biblia Online | BAG-O NGA KALIBOTAN NGA HUBAD HAN KRISTIANO GRIEGO NGA KASURATAN Karuyag mo ba basahon ini nga artikulo ha %%? 1 Pedro 3:1-22 3 Ha pariho nga paagi, kamo nga mga asawa, magpasakop kamo ha iyo bana, basi kon may bisan hin-o nga diri masinugtanon ha pulong, makabig hira bisan waray pulong pinaagi han iyo panggawi,2 tungod kay mga testigo hira nga nakakita han iyo putli nga panggawi nga may daku nga respeto.3 An iyo pagpahusay kinahanglan diri ha gawas la—an pagsalapid han buhok nga
..........
kita ha mga matadong, ngan an iya mga talinga namamati ha ira pangamuyo; pero hi Jehova* nakontra ha mga nagbubuhat hin maraot.”13 Ha pagkamatuod, hin-o an makakadaot ha iyo kon aktibo kamo ha pagbuhat hin maopay?14 Pero bisan kon mag-antos kamo tungod han katadongan, malipayon kamo. Kondi ayaw kahadlok han ira nahahadlokan, ngan ayaw liwat kamo kalisang.15 Lugod, ha iyo kasingkasing kilalaha nga an Kristo amo an Ginoo ngan baraan hiya, ngan magin andam pirme kamo ha pagdepensa ha atubangan han "	59caefcd4e0db7c6b2e337a3b508a0f4
			"An Gresya o Grecia (ha Griyego nga yinaknan: Eλλάδa [kaluwas Ellada] o Eλλάς [kaluwas Ellas]) nga kilalado ha opisyal nga Republika Hellenika (ha Griyego: Eλλnvιkή Anuokpatίa o Elliniki Dimokratia)[5] usa nga nasod ha timugan o salatan-sidlangan nga Europa. Nahamutang ini ha salatan nga dapit han Peninsula Balkanika o Rawis han Balkanika. Mayda ini mga linea hin pagsapit upod han Albanya, an Republika han Macedonia[6] ngan Bulgaria ha amihanan, ngan han Turkeya ha sidlangan. An Dagat Aegeo naham
..........
 han Gresya mayda damo nga mga isla, isleta ngan bato nga mga isla. [igliwat] Administratibo nga pagbahinbahin han Gresya - Prinsipal nga barasahon: Mga periferya han Gresya - Prinsipal nga barasahon: Mga prefektura han Gresya Ha administrasyon, an Gresya ginbahin ngadto hin mga rehiyon o periferya (πepιφέpeιeς ha Griyego) ngan ini ginbahinbahin ngadto hin kalim-an kag usa nga mga prefektura o nomoi (ha Griyego nomos kon uusa nomoi kon sobra usa). Mayda liwat usa nga autonomo nga estado, an Buki"	7c305e37b3a9ffa9b682480afc666aba
			"DOJ, diri kakasuhan hi ex-Customs commissioner Faeldon Naghatag na hin pinal nga desisyon an Department of Justice (DOJ) nga diri nira kakasuhan hi Bureau of Customs ex-commissioner Nicanor Faeldon bisan pa naghatag hin motion for reconsideration an Philippine Drug Enforcement Agency (PDEA). Waray karawata han DOJ prosecution panel an iginsumite nga motion han PDEA pinaagi ha usa nga resolusyon nga igingawas ha publiko hadton ika-24 han Enero. Sumala ha DOJ prosecution panel, klarado nga waray p
..........
nga iginpasa han PDEA, gintuyo han DOJ nga diri akseptaron komo usa nga ebidensya an mga testimonya mahitungod han kaso han smuggling pero sumala naman ha prosecution panel han DOJ, diri sadang nga ebidensya an ginhatag han PDEA agud makasuhan an mga kontobersyal nga opisyal. Ha pagkayana, kapot na ni DOJ Secretary Vitaliano Aguirre III an automatic review han desisyon nga iginpasa han DOJ prosecution panel. Samtang, tikang ha bag-o nga update kanina, nagdesisyon na an Senado nga pagawsun na hi "	ccfa55a7a71a7a1ba81f2c12b68e43b8
			"Negros Occidental An Negros Occidental (kon ha Winaray: Katundan nga Negros o Kalondan nga Negros) usa nga lalawigan o probinsya han Pilipinas nga nahamutangan ha Katundan nga Kabisay-an nga rehiyon. An kapital hini amo an Syudad han Bacolod ngan an lalawigan ada nahamutangan han kanawayon o amihanan-katundan nga katunga han isla han Negros; an lalawigan han Negros Oriental ada hiton timugan o habagatan-sinirangan nga dapit han isla. Ha tabok han Golfo han Panay ngan han Estrecho han Guimaras ha
..........
rapiya[igliwat | edit source] Politikal[igliwat | edit source] An Negros Occidental mayda napulo kag siyam (19) nga bungto ngan napulo kag tulo (13) nga syudad. An Negros Occidental amo an mayda gidadamo-i nga mga syudad ha ngatanan nga probinsya ha Pilipinas. Mga Syudad[igliwat | edit source] Mga Bungto[igliwat | edit source] Physical[igliwat | edit source] Kasaysayan[igliwat | edit source] Han Nobyembre 5, 1898, nagtikang in usa nga rebelyon nga pinamunoan nira Juan Araneta ngan Aniceto Lacson"	fef465cf8d1b5cae6f6de2e22a27a3b7
			"AN BARANTAYAN (ARADMAN NGA EDISYON) May 2017 Ini nga gowa nagsusulod han aradman nga mga artikulo para ha Hulyo 3-30, 2017. Buligi an Dayo nga mga Residente nga ‘Mag-alagad nga Malipayon kan Jehova’ Paonan-o ka magigin epektibo ha pagsangyaw han maopay nga sumat ha mga pinalagiw nga diri pa nakilala kan Jehova? Buligi an mga Anak han Dayo nga mga Residente Kon usa ka nga kag-anak nga binalhin ha iba nga nasud, paonan-o mo mabubuligan an imo mga anak ha pinakamaopay nga paagi nga mahibaro mahitun
..........
agtugnaw an ira gugma. Ano an makakabulig ha aton nga matipigan nga marig-on aton gugma kan Jehova? “Hinigugma Mo ba Ako Labaw Pa Hini?” Gintutdoan ni Jesus hi Simon Pedro hin importante nga leksyon may kalabotan ha kon ano an angay magin prayoridad. Maiaaplikar ba liwat naton ito yana? Kon Paonan-o Ginbuligan ni Gayo an Kabugtoan Hin-o hi Gayo, ngan kay ano nga kinahanglan naton subaron an iya ehemplo? An Kalipay han Pagkaada Simple nga Kinabuhi Ano an nagpagios ha usa nga mag-asawa nga pasimpl"	61b892502bf3f6db016dd1d9e65f596a
			"Paglupad ha kalarakan An paglupad ha kalarakan in usa ka buhat nga pakadto o pag-agi ha gawas nga kalarakan. Iton paglupad ha kalarakan in poyde mahitabo pinaagi han sarakyan pankalarakan nga poyde maysulod o waray tawo. Pananglitan han paglupad ha kalarakan nga may tawo an Soyuz program han Ruso, an Space shuttle program han Estados Unidos, ngan upod liwat an International Space Station nga napadayon yana. Pananglitan han paglupad ha kalarakan nga waray upod nga tawo amo an mga space probes nga
..........
 upod liwat an mga satelyt nga natuyok palibot ha kalibutan, sugad han mga communication satelayt. Ini in ginpapadalagan kun diri man an telerobotic control, in bug-os nga naglulugaring. An paglupad ha kalarakan in gingagamit han pamiling hin panginsayod ha kalarakan, ngan mga aktibidades komersyal sugad han turismo ha kalarakan ngan mga satellite telecommunication. Dugang nga mga diri-komersyal nga paggamit in naupod an mga space observatory, mga reconnaissance satellites og iba nga pagobservar"	98d6d07289ccc241952cbd8608ed973b
