"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"Raaya wu Senegaal Raaya réewum Senegaal am na ñatti rëdd yu taxaw te tolloo, wu wert, wu mboq ak wu xonk. Ab biddiw wu wert am juróomi cat a nekk ci digg rëdd wu mboq wi. Kulóor bu wert bee ngi màndargaal kulóoru yonent Yàlla Muhammad ñeel jullit yi, wow yaakaar ñeel nasaraan yi mbaa wow njur ñeel ñi gëmul Yàlla. Nimero bi ko sistem Panton jox mooy 361 mbaa RGB 30 181 58. - Melo (Kulóor) wu mboq wi day màndargaal am-am ak njariñal liggéey, doon it kulóoru Caada ak ladab; kulóoru xel mbaa ruu. Ni
..........
mi ponki Lislaam yi ñeel jullit yi. Nimero bi ko sistem Panton jox mooy wow rëdd wu wert wi. Amul benn dogalu buur bu ñeel yaatuwaayu rëdd yooyu, kulóoru raaya wi ak tolluwaayu biddiw bi. Raaya ya jëkkoon[Soppi • soppi gongikuwaay bi] Raayaw Senegaal wi njëkk, ci atum 1958, daa amoon biddiw bu mboq bu am juróomi cat te ginaaw gi wert. Mi ngi ajuwoon ci Mbooloom Jëmale Senegaal kanam (doon tey làng politig gii di Parti socialiste (PS)), amoom benn biddiw ca jamono jooja. Ci weeru samwie 1959, rée"	0433b38a34b04da8032e9e6ad7da03c5
			"Taariixu Senegaal Ngir xam taariixu Senegaal, taariixkat yi am nañu ay gongikuwaay yu bari : gongikuwaay yu gimiñ, yooyu nag yu bari lañu waaye soxla nañu ay gëstu yu xóot, ndax dañuy faral di jaxase diggante dëgg ak léeb (mythe). Ak jeexiit yi, ñoom nag bariwuñu te lu tas la, ak gongikuwaay yu mbind yi, ñoom it yu néew lañu, ndax askan yi dëkke woon Senegaal ca jooja jamono xamuñu woon mbind. Senegaal nag suuf su ñuy gàddaaye génn la ak su ñuy gàddaaye jëm. Aw askanam, diirub ay xarnu, dañoo ne
..........
kkoon Poortugaal moo ko yónni woon. Ci noonu la waa Poortugaal tambalee jëflante ak waa senegaal yi fa nekkoo, yaxantu judd ci seen diggante. Ci nii ba mu yàgg waa angalteer dal di ñëw, waa faraas tegu ci ak waa Olaand. Dem na ba waa faraas rek a fi desoon sanc réew mi yépp; def Ndar péyam tek fa ab Laman buy yor réew mi. Laman yooyu ay tubaab la ñu daa doon yu daa jóge ca Faraas. Ci Ndajem Berlin mi la réewi tugal yi waxtaan ba deggoo ci ana naka la ñuy seddoo Afrik. Jàmmaarloo ci ngànnaay lànk"	5bbda234061096b844385d81d8389fd4
			"Diggu Aamerig Diggu Aamerig mooy xaaj bi nekk ci digg goxu Aamerig, ci diggante Meksik (bokk ci Bëj-gànnaaru Aamerig), ak Koloombi (bokk ci Bëj-saalumu Aamerig). Ay melokaanam ñooy li mu nekk di ab séla ci diggante ñaari Aamerig yi, ak li mu doon it ab jàllu, ngir man a jòge ci Mbàmbulaanu Atlas dem ci Mbàmbulaan gu Dal gi. Ca réewu Panamaa la boobu jàllu nekk. Séwógaraafi[Soppi • soppi gongikuwaay bi] Réew ya fa nekk: Taariix[Soppi • soppi gongikuwaay bi] Ay xay yu mag juddoo nañu ci bii diiwaa
..........
 di noot ci lu mat ñetti xarnu. Daanaka réew yi nekk ci Diggu Aamerig yépp làkkuw Espaañ lañuy wax. Bi ñu amee seenug tembte, ci ndoorteelu 1800, la leen ay jafe-jafe yu bari ganesi. Looloo tax li ëpp ci taariixu réewi Diggu Aamerig yi, ba ci 1900, ay daane nguur ak ay xaree ci gën a fés. Koom-koom[Soppi • soppi gongikuwaay bi] Li ëpp ci am-am yi nekk ci diwaan bi, suufu mbéy la te li ci ëpp ci loxoy ñenn nit ñu néew la nekk. Mbéy mi, ba tay, moo ëpp solo ci seen koom-koom, njudéef (produit) yi "	b85d52b2433fb84f15dd4163b0540837
			"Bennoo gu Almaañ Bennoo gu Almaañ [Soppi] Almaañ njëkk xare yu Napoleon yi: Almaañ njëkk xarey Napoleon yi, dafa séddaliku woon ci lu jege ñatti téemeer ak juroom benn fukki diiwaan(360 diiwaan), yépp it ci ron imbraatóor gu Otris lañu nekkoon, walla li ñuy tudde Imbraatóor gu Rom gu sell gi. Almaañ gépp it genn nguur rekk a fa nekkoon gu mag te temb, mooy gu Brusiya. Nguur googu nag jëmoon na kanam, te ag yewwuteem fés, ci jamonoy buuram ba tuddoon Fredrick mu mag mi (Great Fredrick) (1740 -178
..........
 cee dooleel soldaaram si, ci noonu mu tëjoon képp ku wuuteek politigam boobu, daal di digle ñu fuglu yéenekaay yi, daal di beddiku sartu réew mi, ne du ci sukkandikooti. Alal ji mu soxla woon mu génnelu ko ci ndigalul buur bi, bañ cee sukkandiku ci lu parlamaa bi. Wàllug xeetu (nationalisme) nag moom gis-gis bi mu ci amoon moo gënoon a yaatu bi mu amoon ci sartu réew, ndax daa gisoon ne sartu réew moom, mi ngi ame mook ay jubluwaayam, ci ginnaaw bu ag xeetu amee ba noppi. Bismarck nag neenalul "	924783e97483b4e1a725fbb45d6398f7
			"1Mdiyaa xaa nu juin ne' si'yana tsaa hua se'en lca Italia, xacan' mdyaa ne' cunta 'in yu Pablo yaa' yu Julio, nu lca que 'in yu sindatu ta 'in yu Augusta, a cunta lo'o chcua xnan yu preso. 2Xacan' yten hua ni' yca na'an nu mdo'o quichen Adramitio, nu ntsu'hui cha' tyi'o ti'in scasca se'en lyi'ya loo Asia. Mdo'o hua nguiaa hua, lo' ta'a nguiaa hua 'in yu Aristarco nu mdo'o quichen Tesalónica se'en lyi'ya loo Macedonia. 3Xca tsaan can' mdyi'o ti'in hua quichen Sidón, lo' si'yana mña'an 'tnan ti' y
..........
: Nchgaa 'un yu ta'a nda'an na re, cha' cua na ngune 'in um ña'an cha' nu ycuin' lo'o um si'yana a tyi'o na se'en lca Creta, lo' a ña'an na cha' tnu re. 22Una cua' ñii chcuin' lo'o um si'yana cu'ni tnu tiquee um, siya' yca na'an re jlyo na una nare' a sca ca 'in na. 23Si'yana tla nu mdijin re, Ndiose X'nan, ñi nu ngui'ni tnu hua 'in, ngua'an tñan ñi sca angujle nu mdi'in lo'on. 24Lo' juin 'ñan: A cutsen Pablo, si'yana ntsu'hui cha' tiyaa ton tloo yu César, lo' si'yana mjñan cha' tsu'hue 'ñan, ty"	62183bbdbe127f0585f2151c023a9faa
			"1Der bicy na, ya̱ do̱o̱ rishlo der nu lac na coz nu rbic Espiriit Yon ni tub ga la der. Walagya̱ nu gac der mbecy nu wagad lagy. 2De ru rad lagy der nu anzir nu gyicy cup der consuel lo Crisht, mas lac ruu tees dzi radza der nu nac de nab gop nu wagac nii. 3Tees na wagadza ga' der, benu rad lagy der nu ni tub la mbecy wac nii dey riidz nu rbic Espiriit Yon benu zaa lagy dey ni Jesuuz, nunu ni tub la mbecy wac niiy: “Jesuuz nac mi Shuaan na”, niiy, benu walab lo Espiriit Yon druu de riidz ze'. 4R
..........
 ni cuerp, gun walab urlo naca̱”, niiñ. Mas ni niiñ tees nac ñii tub lugaar ni cuerp. 17Benu tub cuerp nac ñii du ub urlo zi'l, orze' ¿lac mod par nu gyeñ na? Nunu benu tub cuerp nin du ub gyidag zi'l nac ñii, orze' ¿lac mod par nu chu' gyidi'ñ na? 18Tees na den gal nu na de lugaar ni cuerp. Nunu gal nu bzu Ñgyoozh de zañ lugaar ni cuerp, ni zi'l bicy mi nu gyicy tub ga la de ub na mod nu rlagy mi. 19Benu dela den tub zi'l lugaar ni cuerp nac naa, orze' wacyiiñ cuerp nin. 20Tees cuerp ni den ris"	370630dfd10fa04f6e290e37dc12d8b1
			"Nettali 64: Suleymaan mu ngi tabax kër Yàlla gi BALA mu dee, Daawuda jox na Suleymaan palaŋ yi mu waroon a topp ngir tabax kër Yexowa gi. Yexowa moo joxoon Daawuda palaŋ yooyu. Suleymaan tàmbali na tabax bi ci ñeenteelu atu nguuram. Jeexal na ko juróomi at ak génn-wall ginnaaw loolu. Ay fukki junniy nit ñoo bokk ci liggéey boobu. Dañu ci def xaalis bu baree bare ndaxte ci biir kër gi, amoon na lu bare lu ñuy defare wurus ak xaalis. Kër Yàlla gi am na ñaari néeg yu gën a am solo, mel ni yi amoon 
..........
yu dul dëgg. Ndax xam nga loolu lu mu indi ? Amatul woon yërmande ci nit ñi, mu komaasee soxor. Mbooloo mi amatul jàmm. Yexowa daldi mere Suleymaan. Mu ne ko : ‘ Dinaa nangu nguur gi ci yow, jox ko keneen. Waaye duma def loolu bi ngay dund. Dinaa ko def ci jamano bu sa doom nekkee buur. Waaye duma nangu réew mi yépp ci moom. ’ Nañu seet naka la loolu ame. 1 Chroniques 28:9-21; 29:1-9; 1 Buur yi 5:1-18; 2 Chroniques 6:12-42; 7:1-5; 1 Buur yi 11:9-13. Laaj yi - Ñaata at la Suleymaan jël ngir tabax"	e34a6fd3d736ddbfec43dce68124e766
			Diiwaani dott Diwaani dott yu àdduna bi ñooy barab yi ne ci li wër dott yi. Goxub Dottub Bëj-gànnaar dan koy jox tekki yu bari; da nuy wax ne mooy mbooleen suuf yi ne ci bëj-gànnaaru Mbegeb dott bu Bëj-gànnaar bi, walla suuf yi ne ci rëddu tus-wu-gaar wu 60° (60 aj) ci bëj-gànnaar. Goxub Dottub Bëj-saalum moom daanaka kenn du ko yemale ci Mbegeb dott bu Bëj-saalum da nuy wax ne mooy mbooleem suuf yi ne ci rëddu tus-wu-taxaw wu 60° (60 aj) ci bëj-saalum. Li ñuy gën a xammee diwaani dott yi ñooy seeniy jamono yuy nangoo sedd, li nuy wax klimaab dott. Diirub nawet naaj bi di na am 24 waxtu (li ñuy duppee naajub xaaju-guddi), diirub noor nak day lëndëm rekk sax-dàkk. Bari na nak ñi dëkk ci barabi dott bu bëj-gànnaar, waaye bu bëj-saalum kenn dëkku fa, lu ko moy am na ay sañc ngir ay gëstug xam-xam, ci wàll wi gën a féete suuf ndax lu mu gën a sedd.	42619c4e036bd72cdfbcbeb70fd1d482
			"1Miy mi Pawlu, mi nit yey tèem Yeesu Kristu kà yey gàa Fay Tooy saanum worro, ni Yeesu Kristu tâage jàk dànda worro gi, 2mi kèbumfarre Timote, hàm takundi mum a yèk goosum. Nge Fay Tooy ni Yeesu Kristu Nitcoorra worro aw hîim mbâr waw, ni 'maton, ni tâam mbâri! 3A ye tayim a dees Makedoniya mi gàami nà, mu tâa bak a Efesu, ngam ha mu njang daw da nit ây kana kàlnji yèk rèeng gi, 4mu gàa daw, ta aw gatki yèk saga ni-Yude ây, ta aw yèergi yèk yòot nit ây gbèeni cen gi ba. Ngam jàk ây gi 'maa gaw '
..........
ewge a yèk kàlnjum takundi gi. 11Yèk kàlnjum yey ana a Yèk Kâwrra hîimin ha mi sak gi; Yèk Kâwrra Fak mbârsum ni 'mita wàa. 12Mi gàarre mbew di Yeesu Kristu Nitcoorra worro kpèwsim gi, ngam ey raptim kà nit mbâra, de iim ha mi tèe tèem wàa, 13dim nit yey maasi nà mgban nîir wàa gi, ɗàage nà ɗàari da nit goosum ta wàa, tâage nà ngàskiya gi. Amma mi kpàa 'maton a gin wàa, ngam mi tèe nà jàk ây gi a èca cèngnum ni èca goosum. 14Yeesu Kristu Nitcoorra worro ey hîimi gbaarra mbâr wàa, 'mèmsa ni goosu"	85cebd8b0fc52c0a7169a33934e7b0c3
			"1Kwyo profet ni maestre lady meñ Antioquía nii bniladzy xtiits Dios. Lëë lë xaa nrii: Bernabé, Simoñ (Yeesy kwnee meñ lo Simoñ), Lucio xaa Cirene, Manaén (xaa nii kwroob tusyke chop Herodes, xaa nii kwnabey Galilea) ni Saulo. 2Lëë tu tse, lëë meñ ncheyutiitsni Dios ni tawdy meñ go par kuuñ ksak meñ go Dios. Lëë Kyalbini Ntson chëb: —Kol kwixaa Bernabé ni Saulo par kuuñtsyey xaa tu tsiiñ nii ktedyaa. 3Loxsye bitiitsni xaa Dios ni tawdy xaa par kuuñ ksak xaa Dios, lëë xaa pxob ña xaa kik Saulo ni 
..........
 mastre non lon, por naa ni parñee kliityaa lab xaa xkiiñdyaa.” 26’Kol kono gaanoo, beetsy, kchësy to siñee sëëd to lo xtiiy Abraham ni kchësy to siñee xtsyeb to Dios. Lëë Dios pxaal tiits re lo no parñee kñë xaa xa telaa no. 27Koknandy meñ nii no Jerusalén ni koknandy xaa xñabey cho kok Jesús. Ni byeñdy xaa kchë kitsy nii pkëë profet nii xkab leñ ktoo ksatyee tse nii xiladzy meñ lo tsiiñ. Por ngo lëë xaa beeñ cumplir nii pkëë profet tsi lëë xaa beety Jesús. 28Aan nikxe gaa ni tu pe beeñtsyeydy "	5af0e5dc9f2359bf66aefd2062e1ef6b
